artifact_key,batch,artifact_type,path,required,exists,size_bytes,sha256,source,notes
batch0_inventory_snapshot,batch_0,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch0_inventory/batch0_inventory_snapshot.csv,True,True,1679042,,stage_manifest.outputs; notebook_global_output_path,
batch0_source_plan,batch_0,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch0_inventory/batch0_inventory_source_plan.csv,True,True,4572,,stage_manifest.outputs; notebook_global_output_path,
batch0_validation,batch_0,validation,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch0_inventory/batch0_validation.csv,True,True,730,,stage_manifest.outputs; notebook_global_output_path,
batch1_source_table_shapes,batch_1,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch1_sources/batch1_source_table_shapes.csv,True,True,35856,,stage_manifest.outputs; notebook_global_output_path,
batch1_schema_validation,batch_1,validation,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch1_sources/batch1_source_schema_validation.csv,True,True,3865,,stage_manifest.outputs; notebook_global_output_path,
batch2_metric_long,batch_2,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch2_pairing/batch2_metric_long.csv,True,True,12880214,,stage_manifest.outputs; notebook_global_output_path,
batch2_metric_pairs,batch_2,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch2_pairing/batch2_opencv_lama_metric_pairs.csv,True,True,10989787,,stage_manifest.outputs; notebook_global_output_path,
batch2_pairing_audit,batch_2,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch2_pairing/batch2_pairing_audit.csv,True,True,26622,,stage_manifest.outputs; notebook_global_output_path,
batch2_restoration_pairs,batch_2,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch2_pairing/batch2_opencv_lama_restoration_pairs.csv,True,True,278673,,stage_manifest.outputs; notebook_global_output_path,
batch2_validation,batch_2,validation,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch2_pairing/batch2_validation.csv,True,True,671,,stage_manifest.outputs; notebook_global_output_path,
batch3_unified_cases,batch_3,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch3_unified_cases/batch3_unified_paired_cases.csv,True,True,890955,,stage_manifest.outputs; notebook_global_output_path,
batch3_validation,batch_3,validation,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch3_unified_cases/batch3_validation.csv,True,True,4147,,stage_manifest.outputs; notebook_global_output_path,
batch4_compact_summaries,batch_4,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch4_compact_summaries/batch4_compact_group_summaries.csv,True,True,20786,,stage_manifest.outputs; notebook_global_output_path,
batch4_failure_patterns,batch_4,table,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch4_compact_summaries/batch4_deterministic_failure_patterns.csv,True,True,48511,,stage_manifest.outputs; notebook_global_output_path,
