lpips_row_id,lpips_case_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,mask_threshold_rule,mask_bbox_margin,lpips_net,lpips_input_size,damaged_lpips,restored_lpips,lpips_improvement,metric_runtime_seconds,case_runtime_seconds,lpips_schema_version,lpips_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,lpips_package_version,status,issue
opencv_telea__canonical__canonical__p001_loss_large__full_image__lpips,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,589824,0,0,768,768,0,False,> 127,8,alex,256,0.30112186074256897,0.08550330251455307,0.2156185582280159,0.07834260002709925,0.2849873999366537,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_loss_large__content_region__lpips,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,509184,52,0,715,768,0,False,> 127,8,alex,256,0.3306492269039154,0.09988786280155182,0.2307613641023636,0.07517719990573823,0.2849873999366537,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_loss_large__mask_bbox_crop__lpips,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,mask_bbox_crop,198025,197,0,642,445,0,False,> 127,8,alex,256,0.6372807025909424,0.23976704478263855,0.39751365780830383,0.04754569998476654,0.2849873999366537,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_loss_small__full_image__lpips,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,full_image,589824,0,0,768,768,0,False,> 127,8,alex,256,0.30700209736824036,0.005069645121693611,0.30193245224654675,0.07314100000075996,0.2989283000351861,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_loss_small__content_region__lpips,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,content_region,509184,52,0,715,768,0,False,> 127,8,alex,256,0.31948909163475037,0.006023750640451908,0.31346534099429846,0.0698730000294745,0.2989283000351861,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_loss_small__mask_bbox_crop__lpips,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,mask_bbox_crop,525625,0,23,725,748,0,False,> 127,8,alex,256,0.30332285165786743,0.005826937034726143,0.2974959146231413,0.06670349999330938,0.2989283000351861,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_mixed_damage__full_image__lpips,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,,,,,opencv_telea,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,full_image,589824,0,0,768,768,0,False,> 127,8,alex,256,0.5040223598480225,0.037247877568006516,0.46677448228001595,0.06977160007227212,0.39979850000236183,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_mixed_damage__content_region__lpips,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,,,,,opencv_telea,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,content_region,509184,52,0,715,768,0,False,> 127,8,alex,256,0.5352203845977783,0.0419439896941185,0.4932763949036598,0.06727439991664141,0.39979850000236183,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_mixed_damage__mask_bbox_crop__lpips,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,,,,,opencv_telea,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,mask_bbox_crop,589824,0,0,768,768,0,False,> 127,8,alex,256,0.5040223598480225,0.037247877568006516,0.46677448228001595,0.07050190004520118,0.39979850000236183,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
opencv_telea__canonical__canonical__p001_scratch_thin__full_image__lpips,opencv_telea__canonical__canonical__p001_scratch_thin,opencv_telea__canonical__canonical__p001_scratch_thin,opencv_telea__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,p001_scratch_thin,canonical__p001_scratch_thin,canonical,primary,p001,,,,,opencv_telea,p001_scratch_thin,scratch_thin,p001_scratch_thin,scratch_thin,full_image,589824,0,0,768,768,0,False,> 127,8,alex,256,0.5241221189498901,0.0015513895777985454,0.5225707293720916,0.07602120004594326,0.38401780009735376,2.0.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,
