catalog_id,record_type,section_id,element_id,display_order,approved_role,source_keys_json,expected_count,implementation_status,deviation_reason,schema_version,status,issue
catalog_31966bc74b7a89067da08845,claim,executive-findings,executive-findings__claim_01,1,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""statistical_results_path"", ""model_cards_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_59e7c569e577771d1b5c0837,claim,executive-findings,executive-findings__claim_02,2,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""statistical_results_path"", ""model_cards_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_34011b1627bad35af132a320,claim,executive-findings,executive-findings__claim_03,3,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""statistical_results_path"", ""model_cards_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_3d8f7cc3b203736124703f59,claim,research-questions,research-questions__claim_01,4,fact_followed_by_scoped_plain_language_assertion,"[""proposal_path"", ""evidence_coverage_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_c3ccb1176af6b72c24ca65f4,claim,research-questions,research-questions__claim_02,5,fact_followed_by_scoped_plain_language_assertion,"[""proposal_path"", ""evidence_coverage_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_97de8b46ae656bf4e8016dd1,claim,dataset-design,dataset-design__claim_01,6,fact_followed_by_scoped_plain_language_assertion,"[""artworks_path"", ""dataset_audit_path"", ""case_registry_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_89aed42154f5efd7b9a0ee1e,claim,dataset-design,dataset-design__claim_02,7,fact_followed_by_scoped_plain_language_assertion,"[""artworks_path"", ""dataset_audit_path"", ""case_registry_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_662148aa7475b1e065f415e9,claim,methods-coverage,methods-coverage__claim_01,8,fact_followed_by_scoped_plain_language_assertion,"[""model_cards_path"", ""model_report_index_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_cc317aad305282a13a01bcc2,claim,methods-coverage,methods-coverage__claim_02,9,fact_followed_by_scoped_plain_language_assertion,"[""model_cards_path"", ""model_report_index_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_fbdb703f465dc92b7a6671ed,claim,evaluation-framework,evaluation-framework__claim_01,10,fact_followed_by_scoped_plain_language_assertion,"[""region_policy_path"", ""ablation_results_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_a44bd934864e739349797143,claim,evaluation-framework,evaluation-framework__claim_02,11,fact_followed_by_scoped_plain_language_assertion,"[""region_policy_path"", ""ablation_results_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_9644180e9850b34964bfbed1,claim,evaluation-framework,evaluation-framework__claim_03,12,fact_followed_by_scoped_plain_language_assertion,"[""region_policy_path"", ""ablation_results_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_1bd5f39c8a75485bb39f7e26,claim,canonical-comparison,canonical-comparison__claim_01,13,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""metric_disagreement_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_c8817ea376211dffce1cd1d0,claim,canonical-comparison,canonical-comparison__claim_02,14,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""metric_disagreement_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_e08230d485206e428b43378f,claim,canonical-comparison,canonical-comparison__claim_03,15,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""metric_disagreement_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_4460595dcac2906f0fb2f7c8,claim,canonical-comparison,canonical-comparison__claim_04,16,fact_followed_by_scoped_plain_language_assertion,"[""model_comparison_path"", ""metric_disagreement_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_0acf97094c7592a6b14fef8b,claim,damage-size,damage-size__claim_01,17,fact_followed_by_scoped_plain_language_assertion,"[""damage_size_analysis_path"", ""damage_size_uncertainty_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_af5475efaeabcf642b93f52b,claim,damage-size,damage-size__claim_02,18,fact_followed_by_scoped_plain_language_assertion,"[""damage_size_analysis_path"", ""damage_size_uncertainty_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_76da27b5b7528a2f28da9e4b,claim,damage-size,damage-size__claim_03,19,fact_followed_by_scoped_plain_language_assertion,"[""damage_size_analysis_path"", ""damage_size_uncertainty_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_3651dd7b3242a6c6cc73b768,claim,mask-robustness,mask-robustness__claim_01,20,fact_followed_by_scoped_plain_language_assertion,"[""mask_robustness_analysis_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_c72d8b30d135d3d0763b7493,claim,mask-robustness,mask-robustness__claim_02,21,fact_followed_by_scoped_plain_language_assertion,"[""mask_robustness_analysis_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_b97355403e18299cb8f2e5de,claim,mask-robustness,mask-robustness__claim_03,22,fact_followed_by_scoped_plain_language_assertion,"[""mask_robustness_analysis_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_7ba54886800eb3079c04ea9e,claim,synthetic-degradation,synthetic-degradation__claim_01,23,fact_followed_by_scoped_plain_language_assertion,"[""degradation_analysis_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_0da1cfcdb734830e3a7b8050,claim,synthetic-degradation,synthetic-degradation__claim_02,24,fact_followed_by_scoped_plain_language_assertion,"[""degradation_analysis_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_1423483c8389d26d7e10d81a,claim,synthetic-degradation,synthetic-degradation__claim_03,25,fact_followed_by_scoped_plain_language_assertion,"[""degradation_analysis_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_b2c533d0ef4b3976400821b5,claim,grouped-statistics,grouped-statistics__claim_01,26,fact_followed_by_scoped_plain_language_assertion,"[""statistical_results_path"", ""metric_correlations_path"", ""ranking_stability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_b2c4d21af85f8b1a94f3b4ac,claim,grouped-statistics,grouped-statistics__claim_02,27,fact_followed_by_scoped_plain_language_assertion,"[""statistical_results_path"", ""metric_correlations_path"", ""ranking_stability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_fa54090f526eba1e4065dd8d,claim,grouped-statistics,grouped-statistics__claim_03,28,fact_followed_by_scoped_plain_language_assertion,"[""statistical_results_path"", ""metric_correlations_path"", ""ranking_stability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_93323ecde229d173a73d764d,claim,grouped-statistics,grouped-statistics__claim_04,29,fact_followed_by_scoped_plain_language_assertion,"[""statistical_results_path"", ""metric_correlations_path"", ""ranking_stability_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_1b28c1a9d83d9b5f215131fb,claim,diffusion-uncertainty,diffusion-uncertainty__claim_01,30,fact_followed_by_scoped_plain_language_assertion,"[""damage_size_uncertainty_path"", ""explanation_cases_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_ab78c6a5fe64ffaaff0d665b,claim,diffusion-uncertainty,diffusion-uncertainty__claim_02,31,fact_followed_by_scoped_plain_language_assertion,"[""damage_size_uncertainty_path"", ""explanation_cases_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_6e07843224fd1d40fc486f4f,claim,diffusion-uncertainty,diffusion-uncertainty__claim_03,32,fact_followed_by_scoped_plain_language_assertion,"[""damage_size_uncertainty_path"", ""explanation_cases_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_3ef265e76f49e80934ffa9cf,claim,diffusion-uncertainty,diffusion-uncertainty__claim_04,33,fact_followed_by_scoped_plain_language_assertion,"[""damage_size_uncertainty_path"", ""explanation_cases_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_617b31eece3be2606e6bd396,claim,failure-flags,failure-flags__claim_01,34,fact_followed_by_scoped_plain_language_assertion,"[""failure_taxonomy_path"", ""failure_assignments_path"", ""trustworthiness_flags_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
catalog_e6a9e6ceea8870a932af7b31,claim,failure-flags,failure-flags__claim_02,35,fact_followed_by_scoped_plain_language_assertion,"[""failure_taxonomy_path"", ""failure_assignments_path"", ""trustworthiness_flags_path""]",1,preserved,,final_report_evidence_catalog.v1,ok,
