figure_type,section,case_id,painting_id,title,dataset_name,mask_type,path,path_project_relative,exists,size_bytes,clean_path_resolved,clean_path_resolved_project_relative,damaged_path_resolved,damaged_path_resolved_project_relative,restored_path_resolved,restored_path_resolved_project_relative,mask_path_resolved,mask_path_resolved_project_relative,error_map_figure_path,error_map_figure_path_project_relative
selected_case_panel,selected_cases,mask_robustness__p001__loss_large__variant_03,p001,Juan de Pareja,mask_robustness,nan,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\mask_robustness_p001_loss_large_variant_03_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/mask_robustness_p001_loss_large_variant_03_selected_case_panel_lama.png,True,134799,True,data/processed/clean/p001_clean.png,True,data/processed/damaged/mask_robustness/p001__loss_large__variant_03_damaged.png,True,data/processed/restored/lama/mask_robustness/mask_robustness__p001__loss_large__variant_03_restored_lama.png,True,data/processed/masks/mask_robustness/p001__loss_large__variant_03_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_mask_robustness_mask_robustness_p001_loss_large_variant_03_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p050_mixed_damage,p050,Landscape with a Sunlit Stream,canonical,mixed_damage,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p050_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p050_mixed_damage_selected_case_panel_lama.png,True,192416,True,data/processed/clean/p050_clean.png,True,data/processed/masked/p050_mixed_damage_damaged.png,True,data/processed/restored/lama/canonical/canonical__p050_mixed_damage_restored_lama.png,True,data/processed/masks/p050_mixed_damage_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p050_mixed_damage_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p001_mixed_damage,p001,Juan de Pareja,canonical,mixed_damage,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p001_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p001_mixed_damage_selected_case_panel_lama.png,True,175683,True,data/processed/clean/p001_clean.png,True,data/processed/masked/p001_mixed_damage_damaged.png,True,data/processed/restored/lama/canonical/canonical__p001_mixed_damage_restored_lama.png,True,data/processed/masks/p001_mixed_damage_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p001_mixed_damage_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p027_loss_large,p027,Italian Landscape with the Ponte Lucano over the Aniene River,canonical,loss_large,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p027_loss_large_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p027_loss_large_selected_case_panel_lama.png,True,150364,True,data/processed/clean/p027_clean.png,True,data/processed/masked/p027_loss_large_damaged.png,True,data/processed/restored/lama/canonical/canonical__p027_loss_large_restored_lama.png,True,data/processed/masks/p027_loss_large_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p027_loss_large_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p006_scratch_thin,p006,Boy with a Sword,canonical,scratch_thin,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p006_scratch_thin_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p006_scratch_thin_selected_case_panel_lama.png,True,135252,True,data/processed/clean/p006_clean.png,True,data/processed/masked/p006_scratch_thin_damaged.png,True,data/processed/restored/lama/canonical/canonical__p006_scratch_thin_restored_lama.png,True,data/processed/masks/p006_scratch_thin_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p006_scratch_thin_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p013_mixed_damage,p013,Landscape with a Village in the Distance,canonical,mixed_damage,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p013_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p013_mixed_damage_selected_case_panel_lama.png,True,166209,True,data/processed/clean/p013_clean.png,True,data/processed/masked/p013_mixed_damage_damaged.png,True,data/processed/restored/lama/canonical/canonical__p013_mixed_damage_restored_lama.png,True,data/processed/masks/p013_mixed_damage_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p013_mixed_damage_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p044_mixed_damage,p044,Versailles,canonical,mixed_damage,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p044_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p044_mixed_damage_selected_case_panel_lama.png,True,176183,True,data/processed/clean/p044_clean.png,True,data/processed/masked/p044_mixed_damage_damaged.png,True,data/processed/restored/lama/canonical/canonical__p044_mixed_damage_restored_lama.png,True,data/processed/masks/p044_mixed_damage_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p044_mixed_damage_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p011_loss_large,p011,View of Haarlem and the Haarlemmer Meer,canonical,loss_large,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p011_loss_large_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p011_loss_large_selected_case_panel_lama.png,True,119245,True,data/processed/clean/p011_clean.png,True,data/processed/masked/p011_loss_large_damaged.png,True,data/processed/restored/lama/canonical/canonical__p011_loss_large_restored_lama.png,True,data/processed/masks/p011_loss_large_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p011_loss_large_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p014_mixed_damage,p014,Landscape on a River,canonical,mixed_damage,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p014_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p014_mixed_damage_selected_case_panel_lama.png,True,130276,True,data/processed/clean/p014_clean.png,True,data/processed/masked/p014_mixed_damage_damaged.png,True,data/processed/restored/lama/canonical/canonical__p014_mixed_damage_restored_lama.png,True,data/processed/masks/p014_mixed_damage_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p014_mixed_damage_lama_difference_maps.png
selected_case_panel,selected_cases,canonical__p001_scratch_thin,p001,Juan de Pareja,canonical,scratch_thin,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p001_scratch_thin_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p001_scratch_thin_selected_case_panel_lama.png,True,170704,True,data/processed/clean/p001_clean.png,True,data/processed/masked/p001_scratch_thin_damaged.png,True,data/processed/restored/lama/canonical/canonical__p001_scratch_thin_restored_lama.png,True,data/processed/masks/p001_scratch_thin_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p001_scratch_thin_lama_difference_maps.png
selected_case_panel,selected_cases,damage_size__p018__loss_large__size_02pct,p018,Classical Landscape with Figures,damage_size,nan,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\damage_size_p018_loss_large_size_02pct_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/damage_size_p018_loss_large_size_02pct_selected_case_panel_lama.png,True,102781,True,data/processed/clean/p018_clean.png,True,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_02pct_damaged.png,True,data/processed/restored/lama/damage_size/damage_size__p018__loss_large__size_02pct_restored_lama.png,True,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_02pct_mask.png,True,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_damage_size_damage_size_p018_loss_large_size_02pct_lama_difference_maps.png
