report_case_id,report_dataset_name,report_painting_id,report_source_case_id,report_mask_type,report_model_name,report_is_zero_control,clean_path,damaged_path,mask_path,restored_path,runtime_seconds,started_at_utc,completed_at_utc,status,issue,clean_painting_id,clean_category,clean_title,clean_artist,clean_date,clean_style_or_period,clean_medium,clean_source,clean_source_url,clean_license,clean_filename,clean_content_x_min,clean_content_y_min,clean_content_x_max,clean_content_y_max,report_category,report_title,report_artist,report_date,report_style,report_medium,report_source,report_source_url,report_license,difference_map_figure_filename,difference_map_figure_path,difference_map_figure_sha256,difference_map_figure_size_bytes_disk,difference_map_figure_filesize_mb,difference_map_generation_runtime_seconds,spatial_mask_area_pixels,spatial_mask_area_fraction_full,spatial_mask_area_percentage_full,spatial_masked_pixel_count,spatial_outside_mask_pixel_count,spatial_boundary_pixel_count,spatial_improvement_mean_full,spatial_improvement_boundary_mean,spatial_improvement_outside_mask_mean,spatial_damaged_error_masked_mean,spatial_restored_error_masked_mean,spatial_damaged_error_boundary_mean,spatial_restored_error_boundary_mean,spatial_flag_net_masked_degradation,spatial_flag_boundary_degradation,spatial_flag_outside_mask_degradation,spatial_flag_high_negative_masked_percentage,spatial_spatial_flag_count,spatial_boundary_net_change_class,spatial_outside_mask_net_change_class,report_has_difference_map,report_has_mask_bbox_lpips,report_has_mask_bbox_feature_similarity
opencv_telea__canonical__canonical__p001_loss_large,canonical,p001,canonical__p001_loss_large,loss_large,opencv_telea,False,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_large_damaged.png,data/processed/masks/p001_loss_large_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_loss_large_restored_opencv_telea.png,0.6496967999846675,2026-07-26T14:03:36.647810+00:00,2026-07-26T14:03:37.296210+00:00,ok,,p001,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,52,0,715,768,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,opencv_telea_canonical_canonical_p001_loss_large_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_loss_large_difference_maps.png,5d4f031eb1fd7837ef0a36814fc789c5552ea4a5010b5909c70e1615f545de38,2222425,2.11946964263916,6.052138000028208,69018,0.1170145670572916,11.701456705729168,69018,520806,13263,24.448530197143555,110.26341247558594,0.0,220.0276641845703,11.09188461303711,111.622314453125,1.3588931560516355,False,False,False,False,0,improved,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p001_loss_small,canonical,p001,canonical__p001_loss_small,loss_small,opencv_telea,False,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_small_damaged.png,data/processed/masks/p001_loss_small_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_loss_small_restored_opencv_telea.png,0.5779497000039555,2026-07-26T14:03:37.298777+00:00,2026-07-26T14:03:37.876987+00:00,ok,,p001,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,52,0,715,768,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,opencv_telea_canonical_canonical_p001_loss_small_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_loss_small_difference_maps.png,98a7c481784eeca54ef36ce8c7e422b92fab57d045fa505fc301838ca39c175e,2132233,2.033455848693848,6.143617299967445,18239,0.0309227837456597,3.0922783745659723,18239,571585,15211,7.048277854919434,106.20384979248048,0.0,232.47381591796875,4.542317867279053,107.67239379882812,1.468542456626892,False,False,False,False,0,improved,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p001_mixed_damage,canonical,p001,canonical__p001_mixed_damage,mixed_damage,opencv_telea,False,data/processed/clean/p001_clean.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_mixed_damage_restored_opencv_telea.png,0.6422706000157632,2026-07-26T14:03:37.876987+00:00,2026-07-26T14:03:38.522633+00:00,ok,,p001,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,52,0,715,768,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,opencv_telea_canonical_canonical_p001_mixed_damage_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_mixed_damage_difference_maps.png,822b93a25aef0f765fd71fabc22dacb183f8ada71de2def6485c1b89f78a3421,2380865,2.2705698013305664,6.206708699988667,45733,0.0775366889105902,7.753668891059028,45733,544091,50270,16.323612213134766,74.68265533447266,0.0,223.85874938964844,13.331174850463867,76.84020233154297,2.1575424671173096,False,False,False,False,0,improved,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p001_scratch_thin,canonical,p001,canonical__p001_scratch_thin,scratch_thin,opencv_telea,False,data/processed/clean/p001_clean.png,data/processed/masked/p001_scratch_thin_damaged.png,data/processed/masks/p001_scratch_thin_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_scratch_thin_restored_opencv_telea.png,0.5956975999870338,2026-07-26T14:03:38.525747+00:00,2026-07-26T14:03:39.119487+00:00,ok,,p001,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,52,0,715,768,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,opencv_telea_canonical_canonical_p001_scratch_thin_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_scratch_thin_difference_maps.png,12d0238ba46234efc3a3a9425d9cb773ae055e072e143bb2701c175a5d25948d,2288275,2.182269096374512,6.145921999996062,12058,0.0204433865017361,2.044338650173611,12058,577766,48370,4.439952373504639,54.14080047607422,0.0,221.43716430664065,4.254354000091553,55.20134735107422,1.0605541467666626,False,False,False,False,0,improved,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p001_zero_control,canonical,p001,canonical__p001_zero_control,zero_control,opencv_telea,True,data/processed/clean/p001_clean.png,data/processed/masked/p001_zero_control_damaged.png,data/processed/masks/p001_zero_control_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_zero_control_restored_opencv_telea.png,0.5527208999847062,2026-07-26T14:03:39.123755+00:00,2026-07-26T14:03:39.675608+00:00,ok,,p001,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,52,0,715,768,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,opencv_telea_canonical_canonical_p001_zero_control_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_zero_control_difference_maps.png,99b5da74fcd27c5624672cf605bd819e0694c4b39a276ed2e2f1b0ccd8cb1c17,2010252,1.9171257019042969,6.006048000010196,0,0.0,0.0,0,589824,0,0.0,,0.0,,,,,False,False,False,False,0,unchanged_or_undefined,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p002_loss_large,canonical,p002,canonical__p002_loss_large,loss_large,opencv_telea,False,data/processed/clean/p002_clean.png,data/processed/masked/p002_loss_large_damaged.png,data/processed/masks/p002_loss_large_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_loss_large_restored_opencv_telea.png,0.422166800010018,2026-07-26T14:03:39.677132+00:00,2026-07-26T14:03:40.100692+00:00,ok,,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,159,0,608,768,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,opencv_telea_canonical_canonical_p002_loss_large_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_loss_large_difference_maps.png,4e2851a2f69de17962dd1c8e2a58a6acaaf106cd650f9e785b89e582f2565d95,1169653,1.1154680252075195,5.362198599963449,37439,0.063474867078993,6.347486707899305,37439,552385,9826,10.09046459197998,93.0240478515625,0.0,180.486572265625,21.518718719482425,95.56011199951172,2.5360608100891118,False,False,False,False,0,improved,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p002_loss_small,canonical,p002,canonical__p002_loss_small,loss_small,opencv_telea,False,data/processed/clean/p002_clean.png,data/processed/masked/p002_loss_small_damaged.png,data/processed/masks/p002_loss_small_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_loss_small_restored_opencv_telea.png,0.3722886000177823,2026-07-26T14:03:40.103699+00:00,2026-07-26T14:03:40.472611+00:00,ok,,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,159,0,608,768,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,opencv_telea_canonical_canonical_p002_loss_small_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_loss_small_difference_maps.png,9a1b81c7ece1388f30e144a3c2fe345598ada38e3ba6389424aab65d11dd4571,1156898,1.1033039093017578,5.516874500026461,18776,0.0318332248263888,3.183322482638889,18776,571048,15670,6.454656600952148,95.3285675048828,0.0,208.3495178222656,5.584753513336182,96.99068450927734,1.662114500999451,False,False,False,False,0,improved,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p002_mixed_damage,canonical,p002,canonical__p002_mixed_damage,mixed_damage,opencv_telea,False,data/processed/clean/p002_clean.png,data/processed/masked/p002_mixed_damage_damaged.png,data/processed/masks/p002_mixed_damage_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_mixed_damage_restored_opencv_telea.png,0.4222679000231437,2026-07-26T14:03:40.477003+00:00,2026-07-26T14:03:40.900312+00:00,ok,,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,159,0,608,768,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,opencv_telea_canonical_canonical_p002_mixed_damage_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_mixed_damage_difference_maps.png,c4b4d446742a582cde19b53891e047ccf9182bcdb7deb7b9e520df03f5530ef8,1352118,1.289480209350586,5.392220300040208,34546,0.0585700141059027,5.857001410590278,34546,555278,47303,11.678863525390623,64.93927001953125,0.0,206.18624877929688,6.786178588867188,66.72611236572266,1.7868493795394895,False,False,False,False,0,improved,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p002_scratch_thin,canonical,p002,canonical__p002_scratch_thin,scratch_thin,opencv_telea,False,data/processed/clean/p002_clean.png,data/processed/masked/p002_scratch_thin_damaged.png,data/processed/masks/p002_scratch_thin_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_scratch_thin_restored_opencv_telea.png,0.3840182999847457,2026-07-26T14:03:40.902323+00:00,2026-07-26T14:03:41.286580+00:00,ok,,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,159,0,608,768,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,opencv_telea_canonical_canonical_p002_scratch_thin_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_scratch_thin_difference_maps.png,a7e53e1a1b4409dd228275066727369b42799562000d81b1cd0ba7f2925b6b34,1257194,1.198953628540039,5.418610199994873,9599,0.0162743462456597,1.6274346245659723,9599,580225,41930,3.464245080947876,48.73109817504883,0.0,217.34701538085935,4.481612682342529,49.75707244873047,1.0259718894958496,False,False,False,False,0,improved,unchanged_or_undefined,True,False,False
opencv_telea__canonical__canonical__p002_zero_control,canonical,p002,canonical__p002_zero_control,zero_control,opencv_telea,True,data/processed/clean/p002_clean.png,data/processed/masked/p002_zero_control_damaged.png,data/processed/masks/p002_zero_control_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_zero_control_restored_opencv_telea.png,0.3538499000133015,2026-07-26T14:03:41.286580+00:00,2026-07-26T14:03:41.643268+00:00,ok,,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,159,0,608,768,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,opencv_telea_canonical_canonical_p002_zero_control_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_zero_control_difference_maps.png,e82db226ce832279334a5a1bf58352234dedf7cd416a36bbad9645c2d1bf4f09,1042100,0.9938240051269532,5.276124500029255,0,0.0,0.0,0,589824,0,0.0,,0.0,,,,,False,False,False,False,0,unchanged_or_undefined,unchanged_or_undefined,True,False,False
