selection_id,selection_order,selection_lane,selection_reason,selection_reasons_json,case_id,painting_id,category,style_or_period,experiment_id,degradation_family,severity,candidate_count,model_count,model_ids_json,candidate_ids_json,prompt_variant_count,uncertainty_group_count,uncertainty_score,lower_risk_candidate_count,manual_review_candidate_count,triggered_flag_count,metric_disagreement_count,has_sdxl,has_uncertainty,has_scratch_prompt_pair,notebook_29_report_selected,schema_version,status,issue
selection_f2f1941866ee0eebcff9,1,category_lower_risk,Lower-risk representative for category abstraction_surrealism,"[""flagged_or_manual_review"", ""lower_risk"", ""metric_disagreement"", ""uncertainty_available""]",canonical__p068__mixed_damage,p068,abstraction_surrealism,Early abstract art / Symbolism,canonical_missing_region,mixed_damage,canonical,7,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p068__mixed_damage__c00"", ""candidate__lama__canonical__p068__mixed_damage__c00"", ""candidate__opencv_telea__canonical__p068__mixed_damage__c00"", ""sd15__p00__s2026__874de9ac2a04"", ""sd15__p00__s2027__e522ef41f972"", ""sd15__p00__s2028__c52c3a508c3b"", ""sd15__p00__s2029__607bd6dda07c""]",1,2,0.1020537167787551,4,3,4,37,False,True,False,False,selected_report_cases.v1,ok,
selection_02ef04136045a056437c,2,category_lower_risk,Lower-risk representative for category architecture_structured,"[""extension_experiment"", ""flagged_or_manual_review"", ""lower_risk""]",synthetic_degradation__p026__dirt_dust__mild,p026,architecture_structured,<NA>,synthetic_degradation,dirt_dust,mild,4,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__synthetic_degradation__p026__dirt_dust__mild__c00"", ""candidate__lama__synthetic_degradation__p026__dirt_dust__mild__c00"", ""candidate__opencv_telea__synthetic_degradation__p026__dirt_dust__mild__c00"", ""sd15__p00__s2026__c631d3200fbd""]",1,1,,3,1,2,0,False,True,False,True,selected_report_cases.v1,ok,
selection_55b12b96a2059914b69c,3,category_lower_risk,Lower-risk representative for category high_texture_brushwork,"[""flagged_or_manual_review"", ""lower_risk"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p244__scratch_thin,p244,high_texture_brushwork,Post-Impressionism,canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p244__scratch_thin__c00"", ""candidate__lama__canonical__p244__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p244__scratch_thin__c00"", ""sd15__p00__s2026__ed9ad51ca7a4"", ""sd15__p00__s2027__65ddd5950f41"", ""sd15__p00__s2028__ee367ef31a4a"", ""sd15__p00__s2029__8361410b9db2"", ""sd15__p05__s2026__efebdf9b1067"", ""sd15__p05__s2027__51c72e4cdcb8"", ""sd15__p05__s2028__43d1cdbfef63"", ""sd15__p05__s2029__e7d5a9ea919c""]",2,3,0.0522779077291488,6,5,6,171,False,True,True,False,selected_report_cases.v1,ok,
selection_79d6d1fc6e743ca76d6e,4,category_lower_risk,Lower-risk representative for category landscape_natural,"[""extension_experiment"", ""flagged_or_manual_review"", ""lower_risk""]",synthetic_degradation__p018__partial_transparency__moderate,p018,landscape_natural,<NA>,synthetic_degradation,partial_transparency,moderate,4,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__synthetic_degradation__p018__partial_transparency__moderate__c00"", ""candidate__lama__synthetic_degradation__p018__partial_transparency__moderate__c00"", ""candidate__opencv_telea__synthetic_degradation__p018__partial_transparency__moderate__c00"", ""sd15__p00__s2026__f941384493da""]",1,1,,3,1,2,0,False,True,False,False,selected_report_cases.v1,ok,
selection_ecec9fc47313b246e61c,5,category_lower_risk,Lower-risk representative for category portrait_figure,"[""extension_experiment"", ""flagged_or_manual_review"", ""lower_risk""]",synthetic_degradation__p009__water_stain__mild,p009,portrait_figure,Post-Impressionism,synthetic_degradation,water_stain,mild,4,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__synthetic_degradation__p009__water_stain__mild__c00"", ""candidate__lama__synthetic_degradation__p009__water_stain__mild__c00"", ""candidate__opencv_telea__synthetic_degradation__p009__water_stain__mild__c00"", ""sd15__p00__s2026__407f68108fa4""]",1,1,,3,1,2,0,False,True,False,False,selected_report_cases.v1,ok,
selection_2ba8f4e0b07117a57d73,6,category_flagged,Flagged representative for category abstraction_surrealism,"[""flagged_or_manual_review"", ""scratch_prompt_sensitivity"", ""sdxl_partial_evaluation"", ""uncertainty_available""]",canonical__p061__scratch_thin,p061,abstraction_surrealism,Bauhaus / Abstract art,canonical_missing_region,scratch_thin,canonical,12,5,"[""hint_places2"", ""lama"", ""opencv_telea"", ""sdxl_inpainting"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p061__scratch_thin__c00"", ""candidate__lama__canonical__p061__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p061__scratch_thin__c00"", ""sd15__p00__s2026__1ca7663c6986"", ""sd15__p00__s2027__2e25610e5ee7"", ""sd15__p00__s2028__40dad2301531"", ""sd15__p00__s2029__b6d473657d8f"", ""sd15__p05__s2026__1ab049af0cf0"", ""sd15__p05__s2027__a24627542eb3"", ""sd15__p05__s2028__904c3dcc6572"", ""sd15__p05__s2029__0751168d98d2"", ""sdxl__91b938159727__p00_generic__seed2026""]",2,3,0.0512476339936256,0,12,3,0,True,True,True,False,selected_report_cases.v1,ok,
selection_bbe6d7288a5d938a99d4,7,category_flagged,Flagged representative for category architecture_structured,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""sdxl_partial_evaluation"", ""uncertainty_available""]",canonical__p111__scratch_thin,p111,architecture_structured,20th-century Danish painting,canonical_missing_region,scratch_thin,canonical,12,5,"[""hint_places2"", ""lama"", ""opencv_telea"", ""sdxl_inpainting"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p111__scratch_thin__c00"", ""candidate__lama__canonical__p111__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p111__scratch_thin__c00"", ""sd15__p00__s2026__77dde357cff7"", ""sd15__p00__s2027__c42f72a81862"", ""sd15__p00__s2028__371c22538db8"", ""sd15__p00__s2029__bd78e75bfb5f"", ""sd15__p05__s2026__9e17ce79c2fc"", ""sd15__p05__s2027__80be6fbc2ac9"", ""sd15__p05__s2028__29df5149ad5f"", ""sd15__p05__s2029__3763d9c5b87d"", ""sdxl__028c615db1d3__p00_generic__seed2026""]",2,3,0.0483940280973911,0,12,9,175,True,True,True,False,selected_report_cases.v1,ok,
selection_2c9995406e84af781ac5,8,category_flagged,Flagged representative for category high_texture_brushwork,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""uncertainty_available""]",canonical__p243__scratch_thin,p243,high_texture_brushwork,17th to early 18th century,canonical_missing_region,scratch_thin,canonical,11,4,"[""hint_places2"", ""lama"", ""opencv_telea"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p243__scratch_thin__c00"", ""candidate__lama__canonical__p243__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p243__scratch_thin__c00"", ""sd15__p00__s2026__0a4a7117a3bc"", ""sd15__p00__s2027__77626aeb1c2d"", ""sd15__p00__s2028__308f8ea744fa"", ""sd15__p00__s2029__357a3273b853"", ""sd15__p05__s2026__d9ea59bc56b6"", ""sd15__p05__s2027__c5e37c595782"", ""sd15__p05__s2028__8bb60c9902ee"", ""sd15__p05__s2029__015b4d8ba724""]",2,3,0.0827540904283523,0,11,9,186,False,True,True,False,selected_report_cases.v1,ok,
selection_95ad3c28ed2c369def58,9,category_flagged,Flagged representative for category landscape_natural,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""sdxl_partial_evaluation"", ""uncertainty_available""]",canonical__p161__scratch_thin,p161,landscape_natural,1801 to 1825,canonical_missing_region,scratch_thin,canonical,12,5,"[""hint_places2"", ""lama"", ""opencv_telea"", ""sdxl_inpainting"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p161__scratch_thin__c00"", ""candidate__lama__canonical__p161__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p161__scratch_thin__c00"", ""sd15__p00__s2026__811d2ab14e2b"", ""sd15__p00__s2027__5eb51b293d37"", ""sd15__p00__s2028__df3921b67134"", ""sd15__p00__s2029__e73ab752dc50"", ""sd15__p05__s2026__09b48d7f5fd3"", ""sd15__p05__s2027__a5db94f3ac6e"", ""sd15__p05__s2028__8b279f21ebcc"", ""sd15__p05__s2029__c1b88a8e3675"", ""sdxl__2fade6809e99__p00_generic__seed2026""]",2,3,0.036777563393116,0,12,7,158,True,True,True,False,selected_report_cases.v1,ok,
selection_af9ae82400efb0c42254,10,category_flagged,Flagged representative for category portrait_figure,"[""flagged_or_manual_review"", ""metric_disagreement"", ""scratch_prompt_sensitivity"", ""sdxl_partial_evaluation"", ""uncertainty_available""]",canonical__p261__scratch_thin,p261,portrait_figure,"19th-century France, 19th century painting",canonical_missing_region,scratch_thin,canonical,12,5,"[""hint_places2"", ""lama"", ""opencv_telea"", ""sdxl_inpainting"", ""stable_diffusion_inpainting""]","[""candidate__hint_places2__canonical__p261__scratch_thin__c00"", ""candidate__lama__canonical__p261__scratch_thin__c00"", ""candidate__opencv_telea__canonical__p261__scratch_thin__c00"", ""sd15__p00__s2026__0fc1b7cf24f5"", ""sd15__p00__s2027__4212f6d2fae2"", ""sd15__p00__s2028__b2b1d771276e"", ""sd15__p00__s2029__92a2868348aa"", ""sd15__p05__s2026__6a45cbdbeb43"", ""sd15__p05__s2027__91a9432329a1"", ""sd15__p05__s2028__fdafb78919d8"", ""sd15__p05__s2029__8f2bed3f7450"", ""sdxl__98d9c5b7b6fe__p00_generic__seed2026""]",2,3,0.0502018332481384,0,12,8,61,True,True,True,False,selected_report_cases.v1,ok,
