figure_type,section,title,description,path,path_project_relative,exists,size_bytes,case_id
plot,metric_overview,Median metric improvement with IQR,Median and interquartile range for each available report metric.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\plots_lama\metric_median_iqr_overview_lama.png,outputs/19_lama_report_generation/figures/plots_lama/metric_median_iqr_overview_lama.png,True,59386,
plot,mask_sensitivity,Positive improvement rate by mask type,Share of cases where each metric improves after LaMa restoration.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\plots_lama\positive_improvement_rate_by_mask_lama.png,outputs/19_lama_report_generation/figures/plots_lama/positive_improvement_rate_by_mask_lama.png,True,116743,
plot,dataset_mask,Dataset-mask mean similarity heatmap,Median mean feature-similarity improvement by dataset and mask type.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\plots_lama\dataset_mask_mean_similarity_heatmap_lama.png,outputs/19_lama_report_generation/figures/plots_lama/dataset_mask_mean_similarity_heatmap_lama.png,True,61582,
plot,lpips,LPIPS improvement by mask type,Distribution of local LPIPS improvement across mask types.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\plots_lama\lpips_improvement_by_mask_type_lama.png,outputs/19_lama_report_generation/figures/plots_lama/lpips_improvement_by_mask_type_lama.png,True,52497,
plot,metric_agreement,Metric correlation heatmap,"Correlation between classical, LPIPS, and feature-similarity improvement metrics.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\plots_lama\metric_correlation_heatmap_lama.png,outputs/19_lama_report_generation/figures/plots_lama/metric_correlation_heatmap_lama.png,True,157022,
plot,damage_size_sensitivity,Mask area versus metric improvement,Relationship between mask_area_pixels and lpips_improvement.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\plots_lama\mask_area_vs_metric_improvement_lama.png,outputs/19_lama_report_generation/figures/plots_lama/mask_area_vs_metric_improvement_lama.png,True,111499,
plot,selected_cases,Selected case metric profile,LPIPS and feature-similarity improvement for the selected report cases.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\plots_lama\selected_case_metric_profile_lama.png,outputs/19_lama_report_generation/figures/plots_lama/selected_case_metric_profile_lama.png,True,159090,
selected_case_panel,selected_cases,mask_robustness__p001__loss_large__variant_03,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\mask_robustness_p001_loss_large_variant_03_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/mask_robustness_p001_loss_large_variant_03_selected_case_panel_lama.png,True,134799,mask_robustness__p001__loss_large__variant_03
selected_case_panel,selected_cases,canonical__p050_mixed_damage,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p050_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p050_mixed_damage_selected_case_panel_lama.png,True,192416,canonical__p050_mixed_damage
selected_case_panel,selected_cases,canonical__p001_mixed_damage,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p001_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p001_mixed_damage_selected_case_panel_lama.png,True,175683,canonical__p001_mixed_damage
selected_case_panel,selected_cases,canonical__p027_loss_large,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p027_loss_large_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p027_loss_large_selected_case_panel_lama.png,True,150364,canonical__p027_loss_large
selected_case_panel,selected_cases,canonical__p006_scratch_thin,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p006_scratch_thin_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p006_scratch_thin_selected_case_panel_lama.png,True,135252,canonical__p006_scratch_thin
selected_case_panel,selected_cases,canonical__p013_mixed_damage,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p013_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p013_mixed_damage_selected_case_panel_lama.png,True,166209,canonical__p013_mixed_damage
selected_case_panel,selected_cases,canonical__p044_mixed_damage,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p044_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p044_mixed_damage_selected_case_panel_lama.png,True,176183,canonical__p044_mixed_damage
selected_case_panel,selected_cases,canonical__p011_loss_large,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p011_loss_large_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p011_loss_large_selected_case_panel_lama.png,True,119245,canonical__p011_loss_large
selected_case_panel,selected_cases,canonical__p014_mixed_damage,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p014_mixed_damage_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p014_mixed_damage_selected_case_panel_lama.png,True,130276,canonical__p014_mixed_damage
selected_case_panel,selected_cases,canonical__p001_scratch_thin,"Clean, damaged, restored, mask, and Notebook 16 difference-map panel.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\19_lama_report_generation\figures\selected_case_panels_lama\canonical_p001_scratch_thin_selected_case_panel_lama.png,outputs/19_lama_report_generation/figures/selected_case_panels_lama/canonical_p001_scratch_thin_selected_case_panel_lama.png,True,170704,canonical__p001_scratch_thin
