category_id,display_name,definition,is_proxy,applicable_to,indicator_ids_json,evidence_families_json,affected_regions_json,threshold_policy_id,trigger_rule,severity_interpretation,recommended_action,limitations,schema_version,status,issue
residual_masked_error,Residual masked-region error,Reference error remains high inside the intended repair region.,False,all_candidates,"[""masked_error_p95"",""masked_mae""]","[""classical"",""spatial""]","[""masked_region""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect the repaired region against the clean reference and error map.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
excessive_blur,Excessive blur,Local edges or surface variation are reduced beyond the operational screening threshold.,False,all_candidates,"[""edge_density_error"",""gradient_magnitude_error"",""smoothing_fraction""]","[""local""]","[""mask_bbox_crop""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect edges and brushwork inside the repair crop.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
structural_collapse_proxy,Structural-collapse proxy,Feature-affinity evidence indicates a possible loss or displacement of structural layout.,True,semantic_evidence_candidates,"[""affinity_centroid_shift"",""affinity_js_divergence"",""affinity_map_correlation""]","[""semantic""]","[""content_region""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect major contours and spatial layout; seek specialist review when critical.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
semantic_inconsistency_proxy,Semantic-inconsistency proxy,Local feature evidence is less compatible with the clean reference inside the repair crop.,True,semantic_evidence_candidates,"[""local_dino_similarity"",""local_patch_worsened_fraction""]","[""semantic""]","[""mask_bbox_crop""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect whether repaired structures remain compatible with surrounding content.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
repeated_texture_proxy,Repeated-texture proxy,Periodicity or generated-detail evidence indicates potentially artificial repeated texture.,True,local_evidence_candidates,"[""hallucinated_detail_fraction"",""periodicity_excess""]","[""local""]","[""mask_bbox_crop"",""masked_region""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect repeated motifs and generated-looking surface detail.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
texture_smoothing,Texture smoothing,Local texture variation appears flatter than the clean reference.,False,local_evidence_candidates,"[""edge_density_error"",""local_texture_error_p95"",""smoothing_fraction""]","[""local""]","[""mask_bbox_crop""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect whether original brushwork or surface variation was flattened.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
texture_discontinuity,Texture discontinuity,Texture or gradient behaviour changes abruptly across the repaired area or boundary.,False,local_evidence_candidates,"[""local_gradient_mismatch"",""local_texture_error_p95"",""transition_roughness_mismatch""]","[""local""]","[""boundary_ring"",""inner_boundary_band"",""mask_bbox_crop""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect texture continuity across the repair boundary.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
colour_bleeding_proxy,Colour-bleeding proxy,Colour discontinuity or spillover evidence indicates possible colour transfer across the boundary.,True,local_evidence_candidates,"[""boundary_spillover_p95"",""cross_boundary_colour_error""]","[""local""]","[""boundary_ring"",""outside_boundary_ring""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect colour transfer across the mask boundary.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
colour_drift,Colour drift,Colour difference evidence is adverse inside the repaired region.,False,local_evidence_candidates,"[""masked_delta_e_mean"",""masked_delta_e_p95"",""masked_hue_shift""]","[""local""]","[""masked_region""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect colour matching inside the restored region.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
boundary_seam,Boundary seam,"Gradient, orientation, or local-structure evidence indicates a visible repair transition.",False,local_evidence_candidates,"[""boundary_gradient_mismatch"",""boundary_orientation_mismatch"",""boundary_ssim_error""]","[""local""]","[""boundary_ring""]",experiment_stratified_operational_outlier_rules.v1,one critical indicator or two distinct warning components,rule_strength_and_review_priority_not_conservation_severity,Inspect the boundary ring at full resolution.,"Failure assignments are transparent operational screening rules, not human-labelled or conservation-validated failures. Warning and critical percentiles identify relative outliers and do not provide calibrated probabilities. Semantic, structural, repeated-texture, colour-bleeding, composition-change, and visible-boundary categories remain computational proxies.",failure_taxonomy.v1,ok,
