selected_case_key,selection_group,selection_reason,selection_rank,lpips_row_id,lpips_case_id,metric_case_id,candidate_id,candidate_index,candidate_seed,effective_candidate_seed,case_id,source_case_id,restoration_case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,is_zero_control,prompt_policy_id,prompt_variant_id,prompt_template_name,prompt_variant_family,evaluation_region,region_x_min,region_y_min,region_x_max,region_y_max,region_pixel_count,mask_area_pixels,damaged_lpips,restored_lpips,lpips_improvement,absolute_lpips_improvement,quality_direction,lpips_improvement_rank_desc_in_region,lpips_improvement_rank_asc_in_region,restored_lpips_rank_asc_in_region,clean_path,damaged_path,restored_path,mask_path,content_x_min,content_y_min,content_x_max,content_y_max,content_box_source,mask_bbox_applicable,expected_lpips_region_count,full_lpips_run_id,full_input_case_count,full_expected_lpips_rows,source_case_id_original,metric_mask_id,metric_mask_type,mask_threshold_rule,mask_bbox_margin,lpips_net,lpips_input_size,metric_runtime_seconds,case_runtime_seconds,lpips_schema_version,lpips_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,lpips_package_version,status,issue,prompt_variant_order,prompt_ablation_subset,inference_mode,execution_device,scheduler_name,num_inference_steps,guidance_scale,strength
strongest_improvement__mask_bbox_crop__sd24_0459__mask_bbox_crop__lpips,strongest_improvement__mask_bbox_crop,Highest LPIPS improvement in mask_bbox_crop.,1,sd24_0459__mask_bbox_crop__lpips,sd24_0459,sd24_0459,sd__dsz__p001__loss_large__p00_generic__s2026__fa1e62c449,459,2026,2026,p001__loss_large__size_02pct,p001__loss_large__size_02pct,sd__dsz__p001__loss_large__p00_generic__s2026__fa1e62c449,damage_size_sensitivity,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,loss_large,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,326,125,507,306,32761,10169,0.6093716621398926,0.1143383383750915,0.495033323764801,0.495033323764801,improved,1,834,389,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_02pct_damaged.png,data/processed/restored/stable_diffusion/damage_size_sensitivity/p00_generic/sd__dsz__p001__loss_large__p00_generic__s2026__fa1e62c449__restored_stable_diffusion_inpainting.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_02pct_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__loss_large__size_02pct,,loss_large,> 127,8,alex,256,0.0459988999937195,0.3599747999978717,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__mask_bbox_crop__sd24_0516__mask_bbox_crop__lpips,strongest_improvement__mask_bbox_crop,Highest LPIPS improvement in mask_bbox_crop.,2,sd24_0516__mask_bbox_crop__lpips,sd24_0516,sd24_0516,sd__mrob__p001__loss_large__p00_generic__s2026__b82cb81bbe,516,2026,2026,p001__loss_large__variant_03,p001__loss_large__variant_03,sd__mrob__p001__loss_large__p00_generic__s2026__b82cb81bbe,mask_robustness,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,loss_large,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,65,105,415,455,122500,63593,0.7212536931037903,0.2298634350299835,0.4913902580738067,0.4913902580738067,improved,2,833,546,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_03_damaged.png,data/processed/restored/stable_diffusion/mask_robustness/p00_generic/sd__mrob__p001__loss_large__p00_generic__s2026__b82cb81bbe__restored_stable_diffusion_inpainting.png,data/processed/masks/mask_robustness/p001__loss_large__variant_03_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__loss_large__variant_03,,loss_large,> 127,8,alex,256,0.0425169999944046,0.3484834999835584,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__mask_bbox_crop__sd24_0463__mask_bbox_crop__lpips,strongest_improvement__mask_bbox_crop,Highest LPIPS improvement in mask_bbox_crop.,3,sd24_0463__mask_bbox_crop__lpips,sd24_0463,sd24_0463,sd__dsz__p001__loss_large__p00_generic__s2026__97d9fce25d,463,2026,2026,p001__loss_large__size_10pct,p001__loss_large__size_10pct,sd__dsz__p001__loss_large__p00_generic__s2026__97d9fce25d,damage_size_sensitivity,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,loss_large,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,224,23,608,407,147456,50905,0.6546342968940735,0.1641016751527786,0.4905326217412948,0.4905326217412948,improved,3,832,463,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,data/processed/restored/stable_diffusion/damage_size_sensitivity/p00_generic/sd__dsz__p001__loss_large__p00_generic__s2026__97d9fce25d__restored_stable_diffusion_inpainting.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_10pct_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__loss_large__size_10pct,,loss_large,> 127,8,alex,256,0.0467887999839149,0.3583173000079114,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,True,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__mask_bbox_crop__sd24_0464__mask_bbox_crop__lpips,strongest_improvement__mask_bbox_crop,Highest LPIPS improvement in mask_bbox_crop.,4,sd24_0464__mask_bbox_crop__lpips,sd24_0464,sd24_0464,sd__dsz__p001__loss_large__p01_style_period__s2026__6de968d914,464,2026,2026,p001__loss_large__size_10pct,p001__loss_large__size_10pct,sd__dsz__p001__loss_large__p01_style_period__s2026__6de968d914,damage_size_sensitivity,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,loss_large,False,sd_inpaint_prompt_ablation_v1,p01_style_period,style_period_context,contextual,mask_bbox_crop,224,23,608,407,147456,50905,0.6546342968940735,0.1676706671714782,0.4869636297225952,0.4869636297225952,improved,4,831,473,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,data/processed/restored/stable_diffusion/damage_size_sensitivity/p01_style_period/sd__dsz__p001__loss_large__p01_style_period__s2026__6de968d914__restored_stable_diffusion_inpainting.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_10pct_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__loss_large__size_10pct,,loss_large,> 127,8,alex,256,0.0445512000005692,0.3013906999840401,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,1,True,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__mask_bbox_crop__sd24_0001__mask_bbox_crop__lpips,strongest_improvement__mask_bbox_crop,Highest LPIPS improvement in mask_bbox_crop.,5,sd24_0001__mask_bbox_crop__lpips,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,1,2026,2026,p001_loss_large,p001_loss_large,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_loss_large,loss_large,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,197,0,642,445,198025,69018,0.6372807025909424,0.1504791378974914,0.4868015646934509,0.4868015646934509,improved,5,830,442,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_large_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_large__p00_generic__s2026__9441d9b074__restored_stable_diffusion_inpainting.png,data/processed/masks/p001_loss_large_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001_loss_large,p001_loss_large,loss_large,> 127,8,alex,256,0.0493630999990273,0.3998357999953441,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__mask_bbox_crop__sd24_0467__mask_bbox_crop__lpips,strongest_improvement__mask_bbox_crop,Highest LPIPS improvement in mask_bbox_crop.,6,sd24_0467__mask_bbox_crop__lpips,sd24_0467,sd24_0467,sd__dsz__p001__loss_large__p04_full_context__s2026__b3c2cfd30c,467,2026,2026,p001__loss_large__size_10pct,p001__loss_large__size_10pct,sd__dsz__p001__loss_large__p04_full_context__s2026__b3c2cfd30c,damage_size_sensitivity,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,loss_large,False,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,contextual,mask_bbox_crop,224,23,608,407,147456,50905,0.6546342968940735,0.1681447327136993,0.4864895641803741,0.4864895641803741,improved,6,829,474,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,data/processed/restored/stable_diffusion/damage_size_sensitivity/p04_full_context/sd__dsz__p001__loss_large__p04_full_context__s2026__b3c2cfd30c__restored_stable_diffusion_inpainting.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_10pct_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__loss_large__size_10pct,,loss_large,> 127,8,alex,256,0.0462103000027127,0.3026892000052612,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,4,True,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__mask_bbox_crop__sd24_0276__mask_bbox_crop__lpips,strongest_improvement__mask_bbox_crop,Highest LPIPS improvement in mask_bbox_crop.,7,sd24_0276__mask_bbox_crop__lpips,sd24_0276,sd24_0276,sd__can__p032__loss_large__p00_generic__s2026__b890142f3e,276,2026,2026,p032_loss_large,p032_loss_large,sd__can__p032__loss_large__p00_generic__s2026__b890142f3e,canonical,primary,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,Piet Mondrian,,stable_diffusion_inpainting,p032_loss_large,loss_large,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,30,28,416,414,148996,72688,0.5419878959655762,0.0601041242480278,0.4818837717175483,0.4818837717175483,improved,7,828,253,data/processed/clean/p032_clean.png,data/processed/masked/p032_loss_large_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p032__loss_large__p00_generic__s2026__b890142f3e__restored_stable_diffusion_inpainting.png,data/processed/masks/p032_loss_large_mask.png,11,0,756,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p032_loss_large,p032_loss_large,loss_large,> 127,8,alex,256,0.0398932000098284,0.3541006000014022,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
strongest_improvement__mask_bbox_crop__sd24_0462__mask_bbox_crop__lpips,strongest_improvement__mask_bbox_crop,Highest LPIPS improvement in mask_bbox_crop.,8,sd24_0462__mask_bbox_crop__lpips,sd24_0462,sd24_0462,sd__dsz__p001__loss_large__p00_generic__s2026__74af314816,462,2026,2026,p001__loss_large__size_08pct,p001__loss_large__size_08pct,sd__dsz__p001__loss_large__p00_generic__s2026__74af314816,damage_size_sensitivity,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,loss_large,False,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,generic,mask_bbox_crop,243,42,589,388,119716,40785,0.6465744972229004,0.1683955192565918,0.4781789779663086,0.4781789779663086,improved,8,827,475,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_08pct_damaged.png,data/processed/restored/stable_diffusion/damage_size_sensitivity/p00_generic/sd__dsz__p001__loss_large__p00_generic__s2026__74af314816__restored_stable_diffusion_inpainting.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_08pct_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__loss_large__size_08pct,,loss_large,> 127,8,alex,256,0.0450292000023182,0.3334827999933623,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,0,False,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__mask_bbox_crop__sd24_0675__mask_bbox_crop__lpips,weakest_or_regressed__mask_bbox_crop,Lowest LPIPS improvement in mask_bbox_crop.,1,sd24_0675__mask_bbox_crop__lpips,sd24_0675,sd24_0675,sd__syn__p001__dirt_dust__p04_full_context__s2026__f3dd267026,675,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p04_full_context__s2026__f3dd267026,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,contextual,mask_bbox_crop,0,0,768,768,589824,13471,0.0002561773289926,0.4985904097557068,-0.4983342324267141,0.4983342324267141,regressed,834,1,822,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p04_full_context/sd__syn__p001__dirt_dust__p04_full_context__s2026__f3dd267026__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.084296799992444,0.3863987000077031,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,4,True,model_inference,cuda,pipeline_default,30,7.5,1.0
weakest_or_regressed__mask_bbox_crop__sd24_0674__mask_bbox_crop__lpips,weakest_or_regressed__mask_bbox_crop,Lowest LPIPS improvement in mask_bbox_crop.,2,sd24_0674__mask_bbox_crop__lpips,sd24_0674,sd24_0674,sd__syn__p001__dirt_dust__p03_artist_style_p__s2026__14e85cd566,674,2026,2026,p001__dirt_dust__severe,p001__dirt_dust__severe,sd__syn__p001__dirt_dust__p03_artist_style_p__s2026__14e85cd566,synthetic_degradation,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,,dirt_dust,False,sd_inpaint_prompt_ablation_v1,p03_artist_style_period,artist_style_period_context,contextual,mask_bbox_crop,0,0,768,768,589824,13471,0.0002561773289926,0.4981730878353119,-0.4979169105063192,0.4979169105063192,regressed,833,2,820,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p03_artist_style_period/sd__syn__p001__dirt_dust__p03_artist_style_p__s2026__14e85cd566__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,52,0,715,768,notebook22_content_box,True,3,sd_lpips_full_20260808T071919Z,945,2724,p001__dirt_dust__severe,,dirt_dust,> 127,8,alex,256,0.0773028000257909,0.3558729999931529,2.1.0,restoration_eval.metrics_lpips,cuda,3.12.6,2.1.3,2.2.3,11.0.0,2.5.1+cu121,0.1.4,ok,,3,True,model_inference,cuda,pipeline_default,30,7.5,1.0
