painting_id,category,title,original_width,original_height,resized_width,resized_height,pad_left,pad_top,pad_right,pad_bottom,content_area_percentage,padding_area_percentage
p014,landscape_natural,Landscape on a River,4000,2266,768,435,0,166,0,167,56.6406,43.3594
p002,portrait_figure,Madame X (Madame Pierre Gautreau),2336,4000,449,768,159,0,160,0,58.4635,41.5365
p049,high_texture_brushwork,Peonies,2514,4000,483,768,142,0,143,0,62.8906,37.1094
p016,landscape_natural,Wooded Landscape with a House beside a River,3903,2465,768,485,0,141,0,142,63.151,36.849
p042,high_texture_brushwork,View of Beirut,1957,1258,768,494,0,137,0,137,64.3229,35.6771
p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",6166,4010,768,499,0,134,0,135,64.974,35.026
p030,architecture_structured,Interior with Five Women,7320,4811,768,505,0,131,0,132,65.7552,34.2448
p018,landscape_natural,Classical Landscape with Figures,4000,2643,768,507,0,130,0,131,66.0156,33.9844
p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,3811,2618,768,528,0,120,0,120,68.75,31.25
p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),3508,2416,768,529,0,119,0,120,68.8802,31.1198
