feature_row_id,feature_case_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,mask_threshold_rule,mask_bbox_margin,feature_input_size,clip_model_name,clip_model_revision,dinov2_model_name,dinov2_model_revision,clean_embedding_id,damaged_embedding_id,restored_embedding_id,embedding_group_id,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mean_similarity_improvement,metric_runtime_seconds,case_runtime_seconds,feature_similarity_schema_version,feature_similarity_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,torchvision_version,transformers_version,status,issue
opencv_telea__canonical__canonical__p001_loss_large__full_image__feature_similarity,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,589824,0,0,768,768,69018,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_loss_large__full_image__clean,opencv_telea__canonical__canonical__p001_loss_large__full_image__damaged,opencv_telea__canonical__canonical__p001_loss_large__full_image__restored,canonical__p001__full_image,0.7656404972076416,0.7694146633148193,0.0037741661071777344,0.9003574848175049,0.8608489036560059,-0.03950858116149902,-0.017867207527160645,0.30098960001487285,0.768014800036326,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_loss_large__content_region__feature_similarity,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,509184,52,0,715,768,69018,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_loss_large__content_region__clean,opencv_telea__canonical__canonical__p001_loss_large__content_region__damaged,opencv_telea__canonical__canonical__p001_loss_large__content_region__restored,canonical__p001__content_region,0.7647113800048828,0.778479814529419,0.013768434524536133,0.8845031261444092,0.8492354154586792,-0.03526771068572998,-0.010749638080596924,0.19516230002045631,0.768014800036326,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_loss_large__mask_bbox_crop__feature_similarity,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,mask_bbox_crop,198025,197,0,642,445,69018,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_loss_large__mask_bbox_crop__clean,opencv_telea__canonical__canonical__p001_loss_large__mask_bbox_crop__damaged,opencv_telea__canonical__canonical__p001_loss_large__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.6968082785606384,0.6496767997741699,-0.047131478786468506,0.7667974233627319,0.7771925926208496,0.010395169258117676,-0.018368154764175415,0.17921189998742193,0.768014800036326,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_loss_small__full_image__feature_similarity,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,full_image,589824,0,0,768,768,18239,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_loss_small__full_image__clean,opencv_telea__canonical__canonical__p001_loss_small__full_image__damaged,opencv_telea__canonical__canonical__p001_loss_small__full_image__restored,canonical__p001__full_image,0.8789300322532654,0.9893114566802979,0.11038142442703247,0.9145395755767822,0.9967767596244812,0.08223718404769897,0.09630930423736572,0.19960050005465746,0.6858548999298364,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_loss_small__content_region__feature_similarity,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,content_region,509184,52,0,715,768,18239,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_loss_small__content_region__clean,opencv_telea__canonical__canonical__p001_loss_small__content_region__damaged,opencv_telea__canonical__canonical__p001_loss_small__content_region__restored,canonical__p001__content_region,0.8871951103210449,0.9855360984802246,0.09834098815917969,0.9191185235977173,0.9964284300804138,0.07730990648269653,0.08782544732093811,0.19439089996740222,0.6858548999298364,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_loss_small__mask_bbox_crop__feature_similarity,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,mask_bbox_crop,525625,0,23,725,748,18239,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_loss_small__mask_bbox_crop__clean,opencv_telea__canonical__canonical__p001_loss_small__mask_bbox_crop__damaged,opencv_telea__canonical__canonical__p001_loss_small__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.8775657415390015,0.988409698009491,0.1108439564704895,0.9412903189659119,0.9973003268241882,0.05601000785827637,0.08342698216438293,0.17912719992455095,0.6858548999298364,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_mixed_damage__full_image__feature_similarity,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,,,,,opencv_telea,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,full_image,589824,0,0,768,768,45733,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_mixed_damage__full_image__clean,opencv_telea__canonical__canonical__p001_mixed_damage__full_image__damaged,opencv_telea__canonical__canonical__p001_mixed_damage__full_image__restored,canonical__p001__full_image,0.6738892793655396,0.917119562625885,0.24323028326034546,0.7721320986747742,0.9496978521347046,0.17756575345993042,0.21039801836013794,0.17842260003089905,0.6816350999288261,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_mixed_damage__content_region__feature_similarity,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,,,,,opencv_telea,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,content_region,509184,52,0,715,768,45733,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_mixed_damage__content_region__clean,opencv_telea__canonical__canonical__p001_mixed_damage__content_region__damaged,opencv_telea__canonical__canonical__p001_mixed_damage__content_region__restored,canonical__p001__content_region,0.6879823207855225,0.9093564748764038,0.22137415409088135,0.7524926662445068,0.9303295612335205,0.17783689498901367,0.1996055245399475,0.18925059994217008,0.6816350999288261,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_mixed_damage__mask_bbox_crop__feature_similarity,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,,,,,opencv_telea,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,mask_bbox_crop,589824,0,0,768,768,45733,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_mixed_damage__mask_bbox_crop__clean,opencv_telea__canonical__canonical__p001_mixed_damage__mask_bbox_crop__damaged,opencv_telea__canonical__canonical__p001_mixed_damage__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.6738892793655396,0.917119562625885,0.24323028326034546,0.7721320986747742,0.9496978521347046,0.17756575345993042,0.21039801836013794,0.20300969993695617,0.6816350999288261,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
opencv_telea__canonical__canonical__p001_scratch_thin__full_image__feature_similarity,opencv_telea__canonical__canonical__p001_scratch_thin,opencv_telea__canonical__canonical__p001_scratch_thin,opencv_telea__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,p001_scratch_thin,canonical__p001_scratch_thin,canonical,primary,p001,,,,,opencv_telea,p001_scratch_thin,scratch_thin,p001_scratch_thin,scratch_thin,full_image,589824,0,0,768,768,12058,False,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,opencv_telea__canonical__canonical__p001_scratch_thin__full_image__clean,opencv_telea__canonical__canonical__p001_scratch_thin__full_image__damaged,opencv_telea__canonical__canonical__p001_scratch_thin__full_image__restored,canonical__p001__full_image,0.7972686290740967,0.9997948408126831,0.20252621173858643,0.8988736867904663,0.9997900724411011,0.10091638565063477,0.1517212986946106,0.18256370001472533,0.6794076999649405,2.0.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
