figure_id,figure_type,source_case_key,selection_reason,prompt_variant_ids,path,created_at_utc,caption,status
prompt_variant_abs_delta_output_change_vs_generic,summary_bar_chart,,,"p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/prompt_variant_abs_delta_output_change_vs_generic.png,2026-08-07T14:29:40.974210+00:00,"Mean absolute difference in output-change proxy compared with the generic prompt. This is a diagnostic output-change signal, not a quality metric.",written
prompt_variant_runtime_vs_generic,summary_bar_chart,,,"p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/prompt_variant_runtime_vs_generic.png,2026-08-07T14:29:41.451286+00:00,Mean contextual prompt runtime difference compared with the matched generic prompt.,written
selected_case_panel_synthetic_degradation__p001_blur_severe,selected_case_prompt_panel,synthetic_degradation__p001_blur_severe,highest prompt-output divergence; metadata-missing prompt context example; dataset-mask coverage example,"p00_generic, p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p001_blur_severe_prompt_ablation_panel.png,2026-08-07T14:29:42.024689+00:00,synthetic_degradation__p001_blur_severe: generic and contextual Stable Diffusion prompt outputs.,written
selected_case_panel_synthetic_degradation__p043_blur_severe,selected_case_prompt_panel,synthetic_degradation__p043_blur_severe,highest prompt-output divergence; metadata-missing prompt context example,"p00_generic, p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p043_blur_severe_prompt_ablation_panel.png,2026-08-07T14:29:42.500802+00:00,synthetic_degradation__p043_blur_severe: generic and contextual Stable Diffusion prompt outputs.,written
selected_case_panel_synthetic_degradation__p039_fading_severe,selected_case_prompt_panel,synthetic_degradation__p039_fading_severe,highest prompt-output divergence; metadata-missing prompt context example,"p00_generic, p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p039_fading_severe_prompt_ablation_panel.png,2026-08-07T14:29:42.931782+00:00,synthetic_degradation__p039_fading_severe: generic and contextual Stable Diffusion prompt outputs.,written
selected_case_panel_canonical__p014_loss_large,selected_case_prompt_panel,canonical__p014_loss_large,highest prompt-output divergence; metadata-missing prompt context example,"p00_generic, p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/canonical__p014_loss_large_prompt_ablation_panel.png,2026-08-07T14:29:43.263093+00:00,canonical__p014_loss_large: generic and contextual Stable Diffusion prompt outputs.,written
selected_case_panel_synthetic_degradation__p001_partial_transparency_severe,selected_case_prompt_panel,synthetic_degradation__p001_partial_transparency_severe,highest prompt-output divergence; metadata-missing prompt context example,"p00_generic, p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p001_partial_transparency_severe_prompt_ablation_panel.png,2026-08-07T14:29:43.774990+00:00,synthetic_degradation__p001_partial_transparency_severe: generic and contextual Stable Diffusion prompt outputs.,written
selected_case_panel_synthetic_degradation__p039_water_stain_severe,selected_case_prompt_panel,synthetic_degradation__p039_water_stain_severe,highest prompt-output divergence; metadata-missing prompt context example,"p00_generic, p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p039_water_stain_severe_prompt_ablation_panel.png,2026-08-07T14:29:44.155893+00:00,synthetic_degradation__p039_water_stain_severe: generic and contextual Stable Diffusion prompt outputs.,written
selected_case_panel_synthetic_degradation__p018_blur_severe,selected_case_prompt_panel,synthetic_degradation__p018_blur_severe,highest prompt-output divergence; metadata-missing prompt context example,"p00_generic, p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p018_blur_severe_prompt_ablation_panel.png,2026-08-07T14:29:44.598017+00:00,synthetic_degradation__p018_blur_severe: generic and contextual Stable Diffusion prompt outputs.,written
selected_case_panel_synthetic_degradation__p001_fading_severe,selected_case_prompt_panel,synthetic_degradation__p001_fading_severe,highest prompt-output divergence; metadata-missing prompt context example,"p00_generic, p01_style_period, p02_artist, p03_artist_style_period, p04_full_context",outputs/21_stable_diffusion_restoration/figures/prompt_ablation/selected_case_panels/synthetic_degradation__p001_fading_severe_prompt_ablation_panel.png,2026-08-07T14:29:45.062426+00:00,synthetic_degradation__p001_fading_severe: generic and contextual Stable Diffusion prompt outputs.,written
