figure_id,figure_type,title,path,file_exists,size_bytes,width_px,height_px,status,issue,source_rows,selection_reason,feature_case_id,evaluation_region
fs_plot_001_region_mean_improvement,aggregate_plot,Mean feature improvement by region,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_aggregate_plots/fs_plot_001_region_mean_improvement.png,True,52625,1243,780,ok,,2724,,,
fs_plot_002_clip_dinov2_scatter,aggregate_plot,CLIP vs DINOv2 improvement scatter,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_aggregate_plots/fs_plot_002_clip_dinov2_scatter.png,True,216268,999,997,ok,,2724,,,
fs_plot_003_improvement_histogram,aggregate_plot,Mean improvement distribution,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_aggregate_plots/fs_plot_003_improvement_histogram.png,True,49604,1236,751,ok,,2724,,,
fs_plot_004_direction_counts,aggregate_plot,Direction labels by region,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_aggregate_plots/fs_plot_004_direction_counts.png,True,49398,1360,780,ok,,2724,,,
fs_plot_005_selected_cases_top,aggregate_plot,Top selected cases by mean improvement,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_aggregate_plots/fs_plot_005_selected_cases_top.png,True,159217,1609,963,ok,,24,,,
fs_panel_001,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_001.png,True,75600,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0240,mask_bbox_crop
fs_panel_002,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_002.png,True,146286,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0678,mask_bbox_crop
fs_panel_003,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_003.png,True,146320,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0679,mask_bbox_crop
fs_panel_004,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_004.png,True,165591,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0697,mask_bbox_crop
fs_panel_005,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_005.png,True,167961,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0698,mask_bbox_crop
fs_panel_006,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_006.png,True,164099,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0701,mask_bbox_crop
fs_panel_007,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_007.png,True,92275,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0710,mask_bbox_crop
fs_panel_008,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_008.png,True,92239,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0713,mask_bbox_crop
fs_panel_009,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_009.png,True,139115,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0798,mask_bbox_crop
fs_panel_010,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_010.png,True,114109,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0858,mask_bbox_crop
fs_panel_011,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_011.png,True,154885,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0873,mask_bbox_crop
fs_panel_012,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_012.png,True,155379,1330,240,ok,,1,bottom_mean_similarity_improvement_mask_bbox_crop,sd24_0875,mask_bbox_crop
fs_panel_013,selected_case_panel,Selected feature-similarity case panel,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels/fs_panel_013.png,True,72696,1330,240,ok,,1,clip_improved_dinov2_not_mask_bbox_crop,sd24_0091,mask_bbox_crop
