artifact_key,batch,artifact_type,path,required,exists,size_bytes,sha256,row_count,column_count,columns,notes
source_cases,batch1,source_table,outputs/21_stable_diffusion_restoration/stable_diffusion_source_cases.csv,True,True,733865,8e8fa33cfa23be44315c8e80367d8d500ab916cc5442f75f57bdf7727fd405e9,465,187,case_id | painting_id | mask_id | mask_type | generator_name | generator_version | generated_at_utc | generation_action | clean_filename | clean_path | mask_filename | mask_path | damaged_filename | damaged_path | damage_fill_strategy | damage_fill_r | damage_fill_g | damage_fill_b | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | width | height | mode | format | damaged_file_size_bytes | clean_sha256 | mask_sha256 | damaged_sha256 | status,Standardized SD source cases.
candidate_manifest,candidate_build,manifest_csv,outputs/21_stable_diffusion_restoration/stable_diffusion_candidate_manifest.csv,True,True,2904218,f523cc96a4937b2dbeaa624bcd5e611ccf0eee8f62cdec659aeadd4e7f573156,945,224,case_id | painting_id | mask_id | mask_type | generator_name | generator_version | generated_at_utc | generation_action | clean_filename | clean_path | mask_filename | mask_path | damaged_filename | damaged_path | damage_fill_strategy | damage_fill_r | damage_fill_g | damage_fill_b | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | width | height | mode | format | damaged_file_size_bytes | clean_sha256 | mask_sha256 | damaged_sha256 | status,Final restoration candidate manifest.
restoration_audit,restoration_run,audit_csv,outputs/21_stable_diffusion_restoration/stable_diffusion_restoration_audit.csv,True,True,3512362,21fe39a8e0348541c4e02728368808ee15477a355855e10a9920f3470b07e6c9,945,282,case_id | painting_id | mask_id | mask_type | generator_name | generator_version | generated_at_utc | generation_action | clean_filename | clean_path | mask_filename | mask_path | damaged_filename | damaged_path | damage_fill_strategy | damage_fill_r | damage_fill_g | damage_fill_b | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | width | height | mode | format | damaged_file_size_bytes | clean_sha256 | mask_sha256 | damaged_sha256 | status,Main Stable Diffusion restoration audit.
full_output_validation,batch6,validation_csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_restoration_validation.csv,True,True,438181,c9111b91c3d095f265d9d64175ef775eaf98e47ce49e743cff3077c657cb8c96,945,40,restoration_case_id | candidate_id | prompt_policy_id | prompt_variant_id | prompt_ablation_subset | dataset_name | source_case_key | source_case_id | case_id | painting_id | mask_type | status | damaged_exists | mask_exists | restored_exists | restored_width | restored_height | restored_mode | mask_binary_threshold | mask_raw_nonzero_pixel_count | mask_thresholded_pixel_count | effective_mask_pixel_count | effective_mask_threshold_policy | mask_gray_min | mask_gray_max | mask_gray_unique_count | mask_pixel_count | outside_mask_pixel_count | exact_match_to_damaged | changed_from_damaged,Per-output validation rows.
compact_summary,batch6,summary_csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_restoration_compact_summary.csv,True,True,4832,b62606e57ee4d5b757806880056c9223e303f37013d3db0dc591581c288eff27,90,5,dataset_name | mask_type | prompt_variant_id | status | row_count,Compact restoration summary.
failure_rows,batch6,diagnostic_csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_failure_rows.csv,True,True,67,a1b4a51e3c54eb1f3a24d68d197df11ae7a4581ec752f1fb4380125f10626634,0,5,candidate_id | source_case_key | status | failure_message | restored_path,Failure-row diagnostics; can be empty.
failure_patterns,batch6,diagnostic_csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_failure_patterns.csv,True,True,112,995741eb1dd3e4daf1fd3dedf061856e2a3706db55ea05a6c72e494407f56a3d,0,9,failure_source | dataset_name | mask_type | prompt_variant_id | status | issue | validation_issue | failed_rows | source_cases,Failure-pattern diagnostics; can be empty.
output_anomalies,batch6,diagnostic_csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_output_anomalies.csv,True,True,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,,,,Duplicate/missing-output anomaly scan; should be empty. CSV read failed: No columns to parse from file
batch6_checks,batch6,validation_csv,outputs/21_stable_diffusion_restoration/validation/stable_diffusion_batch6_output_validation_checks.csv,True,True,1111,fbec6a49de3574ceb37f8996f354273734cffdaf14fea1d097ab3deeeb58af13,16,5,check_name | observed | expected | passed | failure_message,Batch 6 validation checks.
prompt_ablation_scope,batch7,analysis_csv,outputs/21_stable_diffusion_restoration/analysis/stable_diffusion_prompt_ablation_analysis_rows.csv,True,True,2334656,6534febb26f9b00f2e6bae78397430306386f4721e6e6379361e9bb8b329d38e,600,297,case_id | painting_id | mask_id | mask_type | generator_name | generator_version | generated_at_utc | generation_action | clean_filename | clean_path | mask_filename | mask_path | damaged_filename | damaged_path | damage_fill_strategy | damage_fill_r | damage_fill_g | damage_fill_b | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | width | height | mode | format | damaged_file_size_bytes | clean_sha256 | mask_sha256 | damaged_sha256 | status,Rows used for prompt-ablation analysis.
