case_id,painting_id,category,mask_type,inference_mode,figure_path
p001_zero_control,p001,portrait_figure,zero_control,copied_zero_control,outputs/figures/lama_restoration_selected_cases/p001_zero_control_lama_visual_check.png
p031_loss_large,p031,abstraction_surrealism,loss_large,model_inference,outputs/figures/lama_restoration_selected_cases/p031_loss_large_lama_visual_check.png
p021_loss_large,p021,architecture_structured,loss_large,model_inference,outputs/figures/lama_restoration_selected_cases/p021_loss_large_lama_visual_check.png
p041_loss_large,p041,high_texture_brushwork,loss_large,model_inference,outputs/figures/lama_restoration_selected_cases/p041_loss_large_lama_visual_check.png
p011_loss_large,p011,landscape_natural,loss_large,model_inference,outputs/figures/lama_restoration_selected_cases/p011_loss_large_lama_visual_check.png
p001_loss_large,p001,portrait_figure,loss_large,model_inference,outputs/figures/lama_restoration_selected_cases/p001_loss_large_lama_visual_check.png
p031_mixed_damage,p031,abstraction_surrealism,mixed_damage,model_inference,outputs/figures/lama_restoration_selected_cases/p031_mixed_damage_lama_visual_check.png
p041_mixed_damage,p041,high_texture_brushwork,mixed_damage,model_inference,outputs/figures/lama_restoration_selected_cases/p041_mixed_damage_lama_visual_check.png
p001_scratch_thin,p001,portrait_figure,scratch_thin,model_inference,outputs/figures/lama_restoration_selected_cases/p001_scratch_thin_lama_visual_check.png
p001_loss_small,p001,portrait_figure,loss_small,model_inference,outputs/figures/lama_restoration_selected_cases/p001_loss_small_lama_visual_check.png
