selected_case_index,selection_reason,selection_reasons,selection_priority,selection_rank,candidate_id,restoration_case_id,case_id,painting_id,category,title,mask_type,prompt_policy_id,prompt_variant_id,prompt_template_name,candidate_seed,evaluation_region,mse_improvement,mae_improvement,psnr_improvement,ssim_improvement,clean_path,damaged_path,mask_path,restored_path,dataset_name,mask_id,model_name,source_case_key,source_case_id,source_case_id_original,prompt_ablation_subset,candidate_index,effective_candidate_seed,inference_mode,execution_device,cuda_device_name,restoration_generator_version,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,damaged_mae,restored_mae,damaged_psnr,restored_psnr,damaged_ssim,restored_ssim,metric_module,metric_version,metric_timestamp_utc,python_version,numpy_version,pandas_version,skimage_version,status,issue,selected_at_utc,figure_path
1,best_masked_mse_improvement,best_masked_mse_improvement | best_masked_ssim_improvement | outside_mask_degradation_watch | category_representative_best_masked_mse,10,1,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,p001_loss_small,p001,portrait_figure,Juan de Pareja,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,masked_region,54261.92067337036,227.29816341400144,29.4062766502282,,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_small_damaged.png,data/processed/masks/p001_loss_small_mask.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0__restored_stable_diffusion_inpainting.png,canonical,p001_loss_small,stable_diffusion_inpainting,canonical__p001_loss_small,p001_loss_small,p001_loss_small,False,2,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,18239,,,,,18239.0,3.582006,3.092278,54324.203125,62.28245162963867,232.4738311767578,5.175667762756348,0.7808699644053069,30.187146614633505,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_001.png
2,best_masked_mse_improvement,best_masked_mse_improvement | best_masked_ssim_improvement,10,2,sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062,sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062,p001__loss_small__variant_03,p001,portrait_figure,Juan de Pareja,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,masked_region,52572.77407836914,220.49122142791748,25.04496064101413,,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_03_damaged.png,data/processed/masks/mask_robustness/p001__loss_small__variant_03_mask.png,data/processed/restored/stable_diffusion/mask_robustness/p00_generic/sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062__restored_stable_diffusion_inpainting.png,mask_robustness,,stable_diffusion_inpainting,mask_robustness__p001_loss_small_variant_03,p001__loss_small__variant_03,p001__loss_small__variant_03,False,525,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,22960,,,,,,,,52737.828125,165.05404663085938,229.2097320556641,8.718510627746582,0.9095812036972816,25.95454184471141,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_002.png
3,weakest_masked_mse_improvement,weakest_masked_mse_improvement,20,1,sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07,sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07,p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",scratch_thin,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,masked_region,-4040.078125,-38.9870491027832,-3.058163674483316,,data/processed/clean/p036_clean.png,data/processed/masked/p036_scratch_thin_damaged.png,data/processed/masks/p036_scratch_thin_mask.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07__restored_stable_diffusion_inpainting.png,canonical,p036_scratch_thin,stable_diffusion_inpainting,canonical__p036_scratch_thin,p036_scratch_thin,p036_scratch_thin,False,327,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,8289,,,,,8289.0,1.405334,1.405334,3952.4755859375,7992.5537109375,39.75783157348633,78.74488067626953,12.162111648507278,9.103947974023962,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_003.png
4,weakest_masked_mse_improvement,weakest_masked_mse_improvement,20,2,sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee,sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee,p039__water_stain__severe,p039,abstraction_surrealism,Painting with Troika,water_stain,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,2026,masked_region,-3017.133186340332,-33.7377347946167,-15.084299275443676,,data/processed/clean/p039_clean.png,data/processed/degraded/synthetic_degradation/p039__water_stain__severe_degraded.png,data/processed/masks/synthetic_degradation/p039__water_stain__severe_effect_mask.png,data/processed/restored/stable_diffusion/synthetic_degradation/p04_full_context/sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee__restored_stable_diffusion_inpainting.png,synthetic_degradation,,stable_diffusion_inpainting,synthetic_degradation__p039_water_stain_severe,p039__water_stain__severe,p039__water_stain__severe,True,883,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,151850,,,,,,,,96.57115936279295,3113.704345703125,7.558403968811035,41.29613876342773,28.282329156090448,13.198029880646772,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_004.png
5,outside_mask_degradation_watch,outside_mask_degradation_watch,40,1,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001,portrait_figure,Juan de Pareja,loss_large,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,outside_mask_region,0.0,0.0,0.0,,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_large_damaged.png,data/processed/masks/p001_loss_large_mask.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_large__p00_generic__s2026__9441d9b074__restored_stable_diffusion_inpainting.png,canonical,p001_loss_large,stable_diffusion_inpainting,canonical__p001_loss_large,p001_loss_large,p001_loss_large,False,1,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,440166,,,,,69018.0,13.554629,11.701457,0.0,0.0,0.0,0.0,inf,inf,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_005.png
6,zero_control_largest_restored_shift,zero_control_largest_restored_shift,50,1,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,p001_zero_control,p001,portrait_figure,Juan de Pareja,zero_control,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,full_image,0.0,0.0,0.0,0.0,data/processed/clean/p001_clean.png,data/processed/masked/p001_zero_control_damaged.png,data/processed/masks/p001_zero_control_mask.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__zero__p00_generic__s2026__3be104a7ae__restored_stable_diffusion_inpainting.png,canonical,p001_zero_control,stable_diffusion_inpainting,canonical__p001_zero_control,p001_zero_control,p001_zero_control,False,5,2026,copied_zero_control,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,589824,0.0,0.0,768.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,1.0,1.0,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_006.png
7,zero_control_largest_restored_shift,zero_control_largest_restored_shift,50,2,sd__can__p002__zero__p00_generic__s2026__606dc73934,sd__can__p002__zero__p00_generic__s2026__606dc73934,p002_zero_control,p002,portrait_figure,Madame X (Madame Pierre Gautreau),zero_control,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,full_image,0.0,0.0,0.0,0.0,data/processed/clean/p002_clean.png,data/processed/masked/p002_zero_control_damaged.png,data/processed/masks/p002_zero_control_mask.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p002__zero__p00_generic__s2026__606dc73934__restored_stable_diffusion_inpainting.png,canonical,p002_zero_control,stable_diffusion_inpainting,canonical__p002_zero_control,p002_zero_control,p002_zero_control,False,10,2026,copied_zero_control,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,589824,0.0,0.0,768.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,1.0,1.0,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_007.png
8,category_representative_best_masked_mse,category_representative_best_masked_mse,60,1,sd__can__p040__loss_large__p00_generic__s2026__8e8011c345,sd__can__p040__loss_large__p00_generic__s2026__8e8011c345,p040_loss_large,p040,abstraction_surrealism,Houses at Murnau,loss_large,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,masked_region,30905.32861328125,133.85713577270508,8.758927632063651,,data/processed/clean/p040_clean.png,data/processed/masked/p040_loss_large_damaged.png,data/processed/masks/p040_loss_large_mask.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p040__loss_large__p00_generic__s2026__8e8011c345__restored_stable_diffusion_inpainting.png,canonical,p040_loss_large,stable_diffusion_inpainting,canonical__p040_loss_large,p040_loss_large,p040_loss_large,False,364,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,62428,,,,,62428.0,13.730821,10.584174,35649.50390625,4744.17529296875,182.8552398681641,48.99810409545898,2.610268702221639,11.36919633428529,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_008.png
9,category_representative_best_masked_mse,category_representative_best_masked_mse,60,2,sd__can__p024__loss_small__p00_generic__s2026__953199848e,sd__can__p024__loss_small__p00_generic__s2026__953199848e,p024_loss_small,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,masked_region,41754.21487426758,191.347282409668,20.449221353497634,,data/processed/clean/p024_clean.png,data/processed/masked/p024_loss_small_damaged.png,data/processed/masks/p024_loss_small_mask.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p024__loss_small__p00_generic__s2026__953199848e__restored_stable_diffusion_inpainting.png,canonical,p024_loss_small,stable_diffusion_inpainting,canonical__p024_loss_small,p024_loss_small,p024_loss_small,True,201,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,20530,,,,,20530.0,4.470196,3.480699,42134.15234375,379.9374694824219,202.37908935546875,11.03180694580078,1.884460996733056,22.33368235023069,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_009.png
10,category_representative_best_masked_mse,category_representative_best_masked_mse,60,3,sd__can__p050__scratch_thin__p00_generic__s2026__bb353c62b5,sd__can__p050__scratch_thin__p00_generic__s2026__bb353c62b5,p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,scratch_thin,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,2026,masked_region,40869.28173828125,152.68512725830078,9.21005941524221,,data/processed/clean/p050_clean.png,data/processed/masked/p050_scratch_thin_damaged.png,data/processed/masks/p050_scratch_thin_mask.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p050__scratch_thin__p00_generic__s2026__bb353c62b5__restored_stable_diffusion_inpainting.png,canonical,p050_scratch_thin,stable_diffusion_inpainting,canonical__p050_scratch_thin,p050_scratch_thin,p050_scratch_thin,False,457,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,9208,,,,,9208.0,2.060066,1.561144,46439.63671875,5570.35498046875,212.3263092041016,59.64118194580078,1.4619154712392677,10.671974886481475,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_010.png
11,category_representative_best_masked_mse,category_representative_best_masked_mse,60,4,sd__can__p018__scratch_thin__p04_full_context__s2026__fb879521dd,sd__can__p018__scratch_thin__p04_full_context__s2026__fb879521dd,p018_scratch_thin,p018,landscape_natural,Classical Landscape with Figures,scratch_thin,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,2026,masked_region,41192.53436279297,183.98019218444824,16.66808745436177,,data/processed/clean/p018_clean.png,data/processed/masked/p018_scratch_thin_damaged.png,data/processed/masks/p018_scratch_thin_mask.png,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p018__scratch_thin__p04_full_context__s2026__fb879521dd__restored_stable_diffusion_inpainting.png,canonical,p018_scratch_thin,stable_diffusion_inpainting,canonical__p018_scratch_thin,p018_scratch_thin,p018_scratch_thin,True,165,2026,model_inference,cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4.2_soft_mask_nonzero_fallback,7269,,,,,7269.0,1.866833,1.232402,42099.23828125,906.7039184570312,200.46875,16.488557815551758,1.8880612282897864,18.55614868265156,,,restoration_eval.metrics_classical,2.1.0,2026-08-07T18:07:49.191686+00:00,3.12.6,1.26.4,2.3.3,0.24.0,ok,,2026-08-07T18:39:57.340492+00:00,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_011.png
