feature_row_id,feature_case_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mean_damaged_similarity,mean_restored_similarity,mean_similarity_improvement,clip_improved,dinov2_improved,mean_feature_improved,clean_embedding_id,damaged_embedding_id,restored_embedding_id,embedding_group_id,feature_input_size,clip_model_name,dinov2_model_name,status,issue
lama__canonical__canonical__p001_loss_large__full_image__feature_similarity,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,589824,0,0,768,768,69018,False,0.7656404972076416,0.9061058163642883,0.14046531915664673,0.9003574848175049,0.9573915004730225,0.05703401565551758,0.8329989910125732,0.9317486584186554,0.09874966740608215,True,True,True,lama__canonical__canonical__p001_loss_large__full_image__clean,lama__canonical__canonical__p001_loss_large__full_image__damaged,lama__canonical__canonical__p001_loss_large__full_image__restored,canonical__p001__full_image,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_loss_large__content_region__feature_similarity,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,509184,52,0,715,768,69018,False,0.7647113800048828,0.9132991433143616,0.14858776330947876,0.8845031261444092,0.951410710811615,0.06690758466720581,0.824607253074646,0.9323549270629883,0.10774767398834229,True,True,True,lama__canonical__canonical__p001_loss_large__content_region__clean,lama__canonical__canonical__p001_loss_large__content_region__damaged,lama__canonical__canonical__p001_loss_large__content_region__restored,canonical__p001__content_region,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_loss_large__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,lama__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_large,loss_large,p001_loss_large,loss_large,mask_bbox_crop,198025,197,0,642,445,69018,False,0.6968082785606384,0.836020827293396,0.13921254873275757,0.7667974233627319,0.9416158199310303,0.17481839656829834,0.7318028509616852,0.8888183236122131,0.15701547265052795,True,True,True,lama__canonical__canonical__p001_loss_large__mask_bbox_crop__clean,lama__canonical__canonical__p001_loss_large__mask_bbox_crop__damaged,lama__canonical__canonical__p001_loss_large__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_loss_small__full_image__feature_similarity,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_small,loss_small,p001_loss_small,loss_small,full_image,589824,0,0,768,768,18239,False,0.8789300322532654,0.9897382259368896,0.11080819368362427,0.9145395755767822,0.9960082769393921,0.08146870136260986,0.8967348039150238,0.9928732514381409,0.09613844752311707,True,True,True,lama__canonical__canonical__p001_loss_small__full_image__clean,lama__canonical__canonical__p001_loss_small__full_image__damaged,lama__canonical__canonical__p001_loss_small__full_image__restored,canonical__p001__full_image,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_loss_small__content_region__feature_similarity,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_small,loss_small,p001_loss_small,loss_small,content_region,509184,52,0,715,768,18239,False,0.8871951103210449,0.990122377872467,0.10292726755142212,0.9191185235977173,0.9970612525939941,0.07794272899627686,0.9031568169593811,0.9935918152332306,0.09043499827384949,True,True,True,lama__canonical__canonical__p001_loss_small__content_region__clean,lama__canonical__canonical__p001_loss_small__content_region__damaged,lama__canonical__canonical__p001_loss_small__content_region__restored,canonical__p001__content_region,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_loss_small__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,lama__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_loss_small,loss_small,p001_loss_small,loss_small,mask_bbox_crop,525625,0,23,725,748,18239,False,0.8775657415390015,0.9910340309143066,0.11346828937530518,0.9412903189659119,0.9974637627601624,0.05617344379425049,0.9094280302524567,0.9942488968372345,0.08482086658477783,True,True,True,lama__canonical__canonical__p001_loss_small__mask_bbox_crop__clean,lama__canonical__canonical__p001_loss_small__mask_bbox_crop__damaged,lama__canonical__canonical__p001_loss_small__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_mixed_damage__full_image__feature_similarity,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,full_image,589824,0,0,768,768,45733,False,0.6738892793655396,0.9607895016670227,0.28690022230148315,0.7721320986747742,0.9873285889625549,0.21519649028778076,0.7230106890201569,0.9740590453147888,0.25104835629463196,True,True,True,lama__canonical__canonical__p001_mixed_damage__full_image__clean,lama__canonical__canonical__p001_mixed_damage__full_image__damaged,lama__canonical__canonical__p001_mixed_damage__full_image__restored,canonical__p001__full_image,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_mixed_damage__content_region__feature_similarity,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,content_region,509184,52,0,715,768,45733,False,0.6879823207855225,0.9593481421470642,0.27136582136154175,0.7524926662445068,0.9862928986549377,0.2338002324104309,0.7202374935150146,0.972820520401001,0.25258302688598633,True,True,True,lama__canonical__canonical__p001_mixed_damage__content_region__clean,lama__canonical__canonical__p001_mixed_damage__content_region__damaged,lama__canonical__canonical__p001_mixed_damage__content_region__restored,canonical__p001__content_region,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__feature_similarity,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,lama__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,p001_mixed_damage,canonical__p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,mask_bbox_crop,589824,0,0,768,768,45733,False,0.6738892793655396,0.9607895016670227,0.28690022230148315,0.7721320986747742,0.9873285889625549,0.21519649028778076,0.7230106890201569,0.9740590453147888,0.25104835629463196,True,True,True,lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__clean,lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__damaged,lama__canonical__canonical__p001_mixed_damage__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
lama__canonical__canonical__p001_scratch_thin__full_image__feature_similarity,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,lama__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,p001_scratch_thin,canonical__p001_scratch_thin,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,Baroque,lama,p001_scratch_thin,scratch_thin,p001_scratch_thin,scratch_thin,full_image,589824,0,0,768,768,12058,False,0.7972686290740967,0.9994229674339294,0.20215433835983276,0.8988736867904663,0.9995550513267517,0.1006813645362854,0.8480711579322815,0.9994890093803406,0.15141785144805908,True,True,True,lama__canonical__canonical__p001_scratch_thin__full_image__clean,lama__canonical__canonical__p001_scratch_thin__full_image__damaged,lama__canonical__canonical__p001_scratch_thin__full_image__restored,canonical__p001__full_image,224,openai/clip-vit-base-patch32,dinov2_vits14,ok,
