figure_id,figure_type,title,description,selection_group,selection_rank,selected_case_key,metric_case_id,lpips_row_id,candidate_id,evaluation_region,lpips_improvement,path,path_project_relative,exists,size_bytes,source_table,source_rows,created_at_utc
stable_diffusion_lpips_damaged_vs_restored_scatter,aggregate_plot,Damaged versus restored LPIPS,Points below the diagonal indicate lower LPIPS after restoration for the evaluated region.,,,,,,,,,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\stable_diffusion_lpips_damaged_vs_restored_scatter.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/stable_diffusion_lpips_damaged_vs_restored_scatter.png,True,248235,outputs/24_stable_diffusion_lpips_metrics/metrics/stable_diffusion_lpips_metrics.csv,2724,2026-08-08T07:49:12.133083+00:00
stable_diffusion_lpips_improvement_boxplot_by_region,aggregate_plot,LPIPS improvement distribution by region,"Distribution of LPIPS improvement values across full image, content region, and mask-bbox crop.",,,,,,,,,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\stable_diffusion_lpips_improvement_boxplot_by_region.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/stable_diffusion_lpips_improvement_boxplot_by_region.png,True,56711,outputs/24_stable_diffusion_lpips_metrics/metrics/stable_diffusion_lpips_metrics.csv,2724,2026-08-08T07:49:12.133083+00:00
stable_diffusion_lpips_median_improvement_by_mask_type_region,aggregate_plot,Median LPIPS improvement by mask type and region,Compact ranking of mask-type and region groups by median LPIPS improvement.,,,,,,,,,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\stable_diffusion_lpips_median_improvement_by_mask_type_region.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/stable_diffusion_lpips_median_improvement_by_mask_type_region.png,True,191489,outputs/24_stable_diffusion_lpips_metrics/metrics/stable_diffusion_lpips_metrics.csv,30,2026-08-08T07:49:12.133083+00:00
stable_diffusion_lpips_mask_area_vs_improvement,aggregate_plot,Mask area versus LPIPS improvement,Scatter plot checking whether larger masks relate to stronger or weaker local LPIPS improvement.,,,,,,,,,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\stable_diffusion_lpips_mask_area_vs_improvement.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/stable_diffusion_lpips_mask_area_vs_improvement.png,True,110143,outputs/24_stable_diffusion_lpips_metrics/metrics/stable_diffusion_lpips_metrics.csv,834,2026-08-08T07:49:12.133083+00:00
stable_diffusion_lpips_median_improvement_by_prompt_family_region,aggregate_plot,Median LPIPS improvement by prompt family and region,Compact prompt-family diagnostic plot for LPIPS improvement.,,,,,,,,,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\stable_diffusion_lpips_median_improvement_by_prompt_family_region.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/stable_diffusion_lpips_median_improvement_by_prompt_family_region.png,True,57028,outputs/24_stable_diffusion_lpips_metrics/metrics/stable_diffusion_lpips_metrics.csv,6,2026-08-08T07:49:12.133083+00:00
strongest_improvement_content_region__strongest_improvement_content_region_sd24_0003_content_region_lpips,selected_case_panel,Selected LPIPS case panel: sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,"Four-panel diagnostic view showing clean, damaged, restored, and mask images for the selected LPIPS row.",strongest_improvement__content_region,1.0,strongest_improvement__content_region__sd24_0003__content_region__lpips,sd24_0003,sd24_0003__content_region__lpips,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,content_region,0.4260791540145874,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\strongest_improvement_content_region__strongest_improvement_content_region_sd24_0003_content_region_lpips.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/strongest_improvement_content_region__strongest_improvement_content_region_sd24_0003_content_region_lpips.png,True,143116,outputs/24_stable_diffusion_lpips_metrics/analysis/stable_diffusion_lpips_selected_cases.csv,1,2026-08-08T07:49:12.133083+00:00
strongest_improvement_content_region__strongest_improvement_content_region_sd24_0188_content_region_lpips,selected_case_panel,Selected LPIPS case panel: sd__can__p022__mixed_damage__p00_generic__s2026__ae7f8cb1f6,"Four-panel diagnostic view showing clean, damaged, restored, and mask images for the selected LPIPS row.",strongest_improvement__content_region,2.0,strongest_improvement__content_region__sd24_0188__content_region__lpips,sd24_0188,sd24_0188__content_region__lpips,sd__can__p022__mixed_damage__p00_generic__s2026__ae7f8cb1f6,content_region,0.3731007948517799,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\strongest_improvement_content_region__strongest_improvement_content_region_sd24_0188_content_region_lpips.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/strongest_improvement_content_region__strongest_improvement_content_region_sd24_0188_content_region_lpips.png,True,162422,outputs/24_stable_diffusion_lpips_metrics/analysis/stable_diffusion_lpips_selected_cases.csv,1,2026-08-08T07:49:12.133083+00:00
strongest_improvement_full_image__strongest_improvement_full_image_sd24_0003_full_image_lpips,selected_case_panel,Selected LPIPS case panel: sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,"Four-panel diagnostic view showing clean, damaged, restored, and mask images for the selected LPIPS row.",strongest_improvement__full_image,1.0,strongest_improvement__full_image__sd24_0003__full_image__lpips,sd24_0003,sd24_0003__full_image__lpips,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,full_image,0.4006474986672401,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\strongest_improvement_full_image__strongest_improvement_full_image_sd24_0003_full_image_lpips.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/strongest_improvement_full_image__strongest_improvement_full_image_sd24_0003_full_image_lpips.png,True,143241,outputs/24_stable_diffusion_lpips_metrics/analysis/stable_diffusion_lpips_selected_cases.csv,1,2026-08-08T07:49:12.133083+00:00
strongest_improvement_full_image__strongest_improvement_full_image_sd24_0188_full_image_lpips,selected_case_panel,Selected LPIPS case panel: sd__can__p022__mixed_damage__p00_generic__s2026__ae7f8cb1f6,"Four-panel diagnostic view showing clean, damaged, restored, and mask images for the selected LPIPS row.",strongest_improvement__full_image,2.0,strongest_improvement__full_image__sd24_0188__full_image__lpips,sd24_0188,sd24_0188__full_image__lpips,sd__can__p022__mixed_damage__p00_generic__s2026__ae7f8cb1f6,full_image,0.3369458541274071,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\strongest_improvement_full_image__strongest_improvement_full_image_sd24_0188_full_image_lpips.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/strongest_improvement_full_image__strongest_improvement_full_image_sd24_0188_full_image_lpips.png,True,161473,outputs/24_stable_diffusion_lpips_metrics/analysis/stable_diffusion_lpips_selected_cases.csv,1,2026-08-08T07:49:12.133083+00:00
strongest_improvement_mask_bbox_crop__strongest_improvement_mask_bbox_crop_sd24_0459_mask_bbox_crop_lpips,selected_case_panel,Selected LPIPS case panel: sd__dsz__p001__loss_large__p00_generic__s2026__fa1e62c449,"Four-panel diagnostic view showing clean, damaged, restored, and mask images for the selected LPIPS row.",strongest_improvement__mask_bbox_crop,1.0,strongest_improvement__mask_bbox_crop__sd24_0459__mask_bbox_crop__lpips,sd24_0459,sd24_0459__mask_bbox_crop__lpips,sd__dsz__p001__loss_large__p00_generic__s2026__fa1e62c449,mask_bbox_crop,0.495033323764801,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\24_stable_diffusion_lpips_metrics\figures\lpips_diagnostics\strongest_improvement_mask_bbox_crop__strongest_improvement_mask_bbox_crop_sd24_0459_mask_bbox_crop_lpips.png,outputs/24_stable_diffusion_lpips_metrics/figures/lpips_diagnostics/strongest_improvement_mask_bbox_crop__strongest_improvement_mask_bbox_crop_sd24_0459_mask_bbox_crop_lpips.png,True,140547,outputs/24_stable_diffusion_lpips_metrics/analysis/stable_diffusion_lpips_selected_cases.csv,1,2026-08-08T07:49:12.133083+00:00
