artifact_group,artifact_name,path,status,purpose,show_to_supervisor,exists
notebook,31_texture_metrics_cleaned.ipynb,notebooks/31_texture_metrics_cleaned.ipynb,completed,Texture and brushstroke-proxy diagnostics.,True,True
notebook,32_uncertainty_heatmaps_cleaned.ipynb,notebooks/32_uncertainty_heatmaps_cleaned.ipynb,completed,Stable Diffusion spatial uncertainty heatmaps.,True,True
notebook,33_case_report_generation_cleaned.ipynb,notebooks/33_case_report_generation_cleaned.ipynb,completed,Selected per-case diagnostic reports.,True,True
notebook,34_prepare_final_dashboard_assets_cleaned.ipynb,notebooks/34_prepare_final_dashboard_assets_cleaned.ipynb,completed,Dashboard-ready CSV/JSON assets.,False,True
notebook,35_refresh_supervisor_package_cleaned.ipynb,notebooks/35_refresh_supervisor_package_cleaned.ipynb,completed,Refresh supervisor package outputs.,False,True
dashboard,streamlit_app.py,streamlit_app.py,completed,Interactive dashboard for reviewing final pre-feedback framework.,True,True
dashboard,dashboard_summary.json,outputs/dashboard/dashboard_summary.json,completed,Dashboard overview facts.,False,True
dashboard,dashboard_asset_manifest.json,outputs/dashboard/dashboard_asset_manifest.json,completed,Manifest of dashboard-ready assets.,False,True
report,case_report_index.html,outputs/reports/case_diagnostics/case_report_index.html,completed,Main entry point for selected per-case diagnostic reports.,True,True
report,stable_diffusion_uncertainty_heatmap_report_50.html,outputs/reports/stable_diffusion_uncertainty_heatmap_report_50.html,completed,Stable Diffusion spatial uncertainty heatmap report.,True,True
metrics,comparison_unified_refined_opencv_lama_stable_diffusion_50.csv,outputs/metrics/comparison_unified_refined_opencv_lama_stable_diffusion_50.csv,completed,"Final refined comparison across OpenCV Telea, LaMa, and Stable Diffusion.",False,True
metrics,comparison_texture_unified_50.csv,outputs/metrics/comparison_texture_unified_50.csv,completed,Unified texture and brushstroke-proxy diagnostics.,False,True
metrics,stable_diffusion_uncertainty_heatmap_summary_by_case_50.csv,outputs/metrics/stable_diffusion_uncertainty_heatmap_summary_by_case_50.csv,completed,Case-level uncertainty heatmap summaries.,False,True
metrics,case_diagnostic_report_manifest_50.csv,outputs/metrics/case_diagnostic_report_manifest_50.csv,completed,Manifest of selected case reports and diagnostic grids.,False,True
