table_row_id,table_id,table_order,section_id,row_order,row_key,row_label,values_json,scope,denominator,independent_unit,source_notebook_ids_json,source_paths_json,source_row_ids_json,applicability_status,interpretation,schema_version,status,issue
thesis_1f231112ce9c23a1f43645c3,t01_research_question_map,1,research-questions,1,rq1,Region-aware evidence beyond traditional image similarity,"{""evidence_status"": ""addressed_by_completed_upstream_evidence"", ""new_science_in_notebook_33"": false, ""question_id"": ""rq1""}",thesis_research_question_map,one approved question or practical output,research question,"[""01"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32""]","[""config/evaluation/evidence_coverage.yaml"", ""docs/proposal/Rahul_Thesis_Proposal.docx""]","[""rq1""]",supported,"Notebook 33 answers this position only with completed, scoped upstream evidence.",thesis_tables.v1,ok,
thesis_ee5ef0fbac3738a702605ab4,t01_research_question_map,1,research-questions,2,rq2,Method differences across damage conditions and consistency across paintings,"{""evidence_status"": ""addressed_by_completed_upstream_evidence"", ""new_science_in_notebook_33"": false, ""question_id"": ""rq2""}",thesis_research_question_map,one approved question or practical output,research question,"[""01"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32""]","[""config/evaluation/evidence_coverage.yaml"", ""docs/proposal/Rahul_Thesis_Proposal.docx""]","[""rq2""]",supported,"Notebook 33 answers this position only with completed, scoped upstream evidence.",thesis_tables.v1,ok,
thesis_295fe9bbdda4cd8dcf0019eb,t01_research_question_map,1,research-questions,3,rq3,Repeated-candidate disagreement and stochastic stability,"{""evidence_status"": ""addressed_by_completed_upstream_evidence"", ""new_science_in_notebook_33"": false, ""question_id"": ""rq3""}",thesis_research_question_map,one approved question or practical output,research question,"[""01"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32""]","[""config/evaluation/evidence_coverage.yaml"", ""docs/proposal/Rahul_Thesis_Proposal.docx""]","[""rq3""]",supported,"Notebook 33 answers this position only with completed, scoped upstream evidence.",thesis_tables.v1,ok,
thesis_51d8bf5f48c28560e3cbab13,t01_research_question_map,1,research-questions,4,practical_output,Interpretable museum-oriented decision-support reporting,"{""evidence_status"": ""addressed_by_completed_upstream_evidence"", ""new_science_in_notebook_33"": false, ""question_id"": ""practical_output""}",thesis_research_question_map,one approved question or practical output,research question,"[""01"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32""]","[""config/evaluation/evidence_coverage.yaml"", ""docs/proposal/Rahul_Thesis_Proposal.docx""]","[""practical_output""]",supported,"Notebook 33 answers this position only with completed, scoped upstream evidence.",thesis_tables.v1,ok,
thesis_505c81a48f025333928a4028,t02_dataset_design_scope,2,dataset-design,1,paintings,Controlled paintings,"{""count"": 300, ""unit"": ""painting""}",controlled_300_and_approved_extensions,all applicable painting records,painting,"[""01""]","[""outputs/01_dataset_verification/data/artworks.csv""]","[""summary:paintings""]",supported,This count defines report coverage and is not evidence of real-world conservation generality.,thesis_tables.v1,ok,
thesis_53b8911ede289e5df49045a8,t02_dataset_design_scope,2,dataset-design,2,registered_cases,Registered experimental cases,"{""count"": 3425, ""unit"": ""case""}",controlled_300_and_approved_extensions,all applicable case records,case,"[""08""]","[""outputs/08_experiment_contracts_and_region_policy/data/case_registry.csv""]","[""summary:registered_cases""]",supported,This count defines report coverage and is not evidence of real-world conservation generality.,thesis_tables.v1,ok,
thesis_5ce08ec993361d59f33343a1,t02_dataset_design_scope,2,dataset-design,3,eligible_cases,Restoration-eligible cases,"{""count"": 2620, ""unit"": ""case""}",controlled_300_and_approved_extensions,all applicable case records,case,"[""29""]","[""outputs/29_explainable_ai_and_case_retrieval/data/explanation_cases.csv""]","[""summary:eligible_cases""]",supported,This count defines report coverage and is not evidence of real-world conservation generality.,thesis_tables.v1,ok,
thesis_e9c26270f9f60a2ed1c7ccdf,t02_dataset_design_scope,2,dataset-design,4,primary_candidates,Primary four-method candidates,"{""count"": 10480, ""unit"": ""candidate""}",controlled_300_and_approved_extensions,all applicable candidate records,candidate,"[""29""]","[""outputs/29_explainable_ai_and_case_retrieval/data/explanation_cases.csv""]","[""summary:primary_candidates""]",supported,This count defines report coverage and is not evidence of real-world conservation generality.,thesis_tables.v1,ok,
thesis_21d4c45e294f05078dbf683a,t02_dataset_design_scope,2,dataset-design,5,nonzero_primary,Nonzero primary candidates,"{""count"": 9280, ""unit"": ""candidate""}",controlled_300_and_approved_extensions,all applicable candidate records,candidate,"[""29""]","[""outputs/29_explainable_ai_and_case_retrieval/data/explanation_cases.csv""]","[""summary:nonzero_primary""]",supported,This count defines report coverage and is not evidence of real-world conservation generality.,thesis_tables.v1,ok,
thesis_6eebe2524e9baa251d7d7239,t02_dataset_design_scope,2,dataset-design,6,style_documented,Paintings with documented style or period,"{""count"": 268, ""unit"": ""painting""}",controlled_300_and_approved_extensions,all applicable painting records,painting,"[""01""]","[""outputs/01_dataset_verification/data/artworks.csv""]","[""summary:style_documented""]",supported,This count defines report coverage and is not evidence of real-world conservation generality.,thesis_tables.v1,ok,
thesis_c794ed8a2f8a89cbee6aec16,t02_dataset_design_scope,2,dataset-design,7,style_missing,Paintings without documented style or period,"{""count"": 32, ""unit"": ""painting""}",controlled_300_and_approved_extensions,all applicable painting records,painting,"[""01""]","[""outputs/01_dataset_verification/data/artworks.csv""]","[""summary:style_missing""]",documented_limitation,This count defines report coverage and is not evidence of real-world conservation generality.,thesis_tables.v1,ok,
thesis_8950d64ac8e1033b00ee3e7b,t02_dataset_design_scope,2,dataset-design,8,sdxl_candidates,Bounded SDXL candidates,"{""count"": 24, ""unit"": ""candidate""}",controlled_300_and_approved_extensions,all applicable candidate records,candidate,"[""29""]","[""outputs/29_explainable_ai_and_case_retrieval/data/explanation_cases.csv""]","[""summary:sdxl_candidates""]",supported,This count defines report coverage and is not evidence of real-world conservation generality.,thesis_tables.v1,ok,
thesis_c19430e9b49df088d406afff,t03_model_coverage,3,methods-coverage,1,hint_places2,HINT,"{""deterministic"": true, ""evaluated_candidate_count"": 2620, ""evaluated_case_count"": 2620, ""evaluation_status"": ""fully_evaluated"", ""model_family"": ""learned_mask_aware_transformer_inpainting"", ""prompt_dependent"": false}",evaluated_model_stack,one canonical model card,model,"[""30""]","[""outputs/30_model_cards_compute_and_scalability/data/model_cards.csv""]","[""model_card_abf7e56b45635b2bbfdd""]",supported,Coverage status constrains comparisons; bounded SDXL evidence is not part of the complete four-method benchmark.,thesis_tables.v1,ok,
thesis_fa5fb7a67d85ce23ed0e9f03,t03_model_coverage,3,methods-coverage,2,lama,LaMa,"{""deterministic"": true, ""evaluated_candidate_count"": 2620, ""evaluated_case_count"": 2620, ""evaluation_status"": ""fully_evaluated"", ""model_family"": ""learned_fourier_convolution_inpainting"", ""prompt_dependent"": false}",evaluated_model_stack,one canonical model card,model,"[""30""]","[""outputs/30_model_cards_compute_and_scalability/data/model_cards.csv""]","[""model_card_e06c255e72cf3df6abb8""]",supported,Coverage status constrains comparisons; bounded SDXL evidence is not part of the complete four-method benchmark.,thesis_tables.v1,ok,
thesis_ec8a1f17d907ebcb9ab9a830,t03_model_coverage,3,methods-coverage,3,opencv_telea,OpenCV Telea,"{""deterministic"": true, ""evaluated_candidate_count"": 2620, ""evaluated_case_count"": 2620, ""evaluation_status"": ""fully_evaluated"", ""model_family"": ""classical_fast_marching_inpainting"", ""prompt_dependent"": false}",evaluated_model_stack,one canonical model card,model,"[""30""]","[""outputs/30_model_cards_compute_and_scalability/data/model_cards.csv""]","[""model_card_3f4b8d6b5dc8c6c4e097""]",supported,Coverage status constrains comparisons; bounded SDXL evidence is not part of the complete four-method benchmark.,thesis_tables.v1,ok,
