restoration_pair_status,rows,audit_section,metric_family,metric_name,metric_value_type,metric_direction,evaluation_region,metric_pair_status,metric_winner,method,numeric_rows,missing_or_non_numeric_rows
paired,410,restoration_pair_status,,,,,,,,,,
,5,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,boundary_region,lama_only,lama_only,,,
,336,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,boundary_region,paired,lama,,,
,19,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,boundary_region,paired,opencv_telea,,,
,310,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,content_region,paired,lama,,,
,45,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,content_region,paired,tie,,,
,310,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,full_image,paired,lama,,,
,45,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,full_image,paired,tie,,,
,5,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,mask_bbox_crop,lama_only,lama_only,,,
,313,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,mask_bbox_crop,paired,lama,,,
,42,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,5,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,masked_region,lama_only,lama_only,,,
,333,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,masked_region,paired,lama,,,
,22,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,masked_region,paired,opencv_telea,,,
,50,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,outside_mask_region,opencv_only,opencv_only,,,
,360,metric_pair_status,classical_metrics,mse,improvement,higher_is_better,outside_mask_region,paired,tie,,,
,5,metric_pair_status,classical_metrics,mse,restored,lower_is_better,boundary_region,lama_only,lama_only,,,
,37,metric_pair_status,classical_metrics,mse,restored,lower_is_better,boundary_region,paired,lama,,,
,318,metric_pair_status,classical_metrics,mse,restored,lower_is_better,boundary_region,paired,opencv_telea,,,
,4,metric_pair_status,classical_metrics,mse,restored,lower_is_better,content_region,paired,lama,,,
,356,metric_pair_status,classical_metrics,mse,restored,lower_is_better,content_region,paired,opencv_telea,,,
,50,metric_pair_status,classical_metrics,mse,restored,lower_is_better,content_region,paired,tie,,,
,5,metric_pair_status,classical_metrics,mse,restored,lower_is_better,full_image,paired,lama,,,
,355,metric_pair_status,classical_metrics,mse,restored,lower_is_better,full_image,paired,opencv_telea,,,
,50,metric_pair_status,classical_metrics,mse,restored,lower_is_better,full_image,paired,tie,,,
,5,metric_pair_status,classical_metrics,mse,restored,lower_is_better,mask_bbox_crop,lama_only,lama_only,,,
,12,metric_pair_status,classical_metrics,mse,restored,lower_is_better,mask_bbox_crop,paired,lama,,,
,343,metric_pair_status,classical_metrics,mse,restored,lower_is_better,mask_bbox_crop,paired,opencv_telea,,,
,5,metric_pair_status,classical_metrics,mse,restored,lower_is_better,masked_region,lama_only,lama_only,,,
,30,metric_pair_status,classical_metrics,mse,restored,lower_is_better,masked_region,paired,lama,,,
,325,metric_pair_status,classical_metrics,mse,restored,lower_is_better,masked_region,paired,opencv_telea,,,
,50,metric_pair_status,classical_metrics,mse,restored,lower_is_better,outside_mask_region,opencv_only,opencv_only,,,
,50,metric_pair_status,classical_metrics,mse,restored,lower_is_better,outside_mask_region,paired,lama,,,
,310,metric_pair_status,classical_metrics,mse,restored,lower_is_better,outside_mask_region,paired,tie,,,
,5,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,boundary_region,lama_only,lama_only,,,
,334,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,boundary_region,paired,lama,,,
,21,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,boundary_region,paired,opencv_telea,,,
,310,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,content_region,paired,lama,,,
,45,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,content_region,paired,tie,,,
,310,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,full_image,paired,lama,,,
,45,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,full_image,paired,tie,,,
,5,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,mask_bbox_crop,lama_only,lama_only,,,
,312,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,mask_bbox_crop,paired,lama,,,
,43,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,5,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,masked_region,lama_only,lama_only,,,
,318,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,masked_region,paired,lama,,,
,37,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,masked_region,paired,opencv_telea,,,
,50,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,outside_mask_region,opencv_only,opencv_only,,,
,360,metric_pair_status,classical_metrics,psnr,improvement,higher_is_better,outside_mask_region,paired,tie,,,
,5,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,boundary_region,lama_only,lama_only,,,
,37,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,boundary_region,paired,lama,,,
,318,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,boundary_region,paired,opencv_telea,,,
,4,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,content_region,paired,lama,,,
,356,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,content_region,paired,opencv_telea,,,
,50,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,content_region,paired,paired_non_numeric,,,
,5,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,full_image,paired,lama,,,
,355,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,full_image,paired,opencv_telea,,,
,50,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,full_image,paired,paired_non_numeric,,,
,5,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,mask_bbox_crop,lama_only,lama_only,,,
,12,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,mask_bbox_crop,paired,lama,,,
,343,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,5,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,masked_region,lama_only,lama_only,,,
,30,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,masked_region,paired,lama,,,
,325,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,masked_region,paired,opencv_telea,,,
,50,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,outside_mask_region,opencv_only,opencv_only,,,
,50,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,outside_mask_region,paired,lama,,,
,310,metric_pair_status,classical_metrics,psnr,restored,higher_is_better,outside_mask_region,paired,paired_non_numeric,,,
,360,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,boundary_region,unknown,unknown,,,
,134,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,content_region,paired,lama,,,
,221,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,content_region,paired,tie,,,
,137,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,full_image,paired,lama,,,
,218,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,full_image,paired,tie,,,
,5,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,mask_bbox_crop,lama_only,lama_only,,,
,153,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,mask_bbox_crop,paired,lama,,,
,202,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,360,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,masked_region,unknown,unknown,,,
,410,metric_pair_status,classical_metrics,ssim,improvement,higher_is_better,outside_mask_region,unknown,unknown,,,
,360,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,boundary_region,unknown,unknown,,,
,134,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,content_region,paired,lama,,,
,221,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,content_region,paired,tie,,,
,137,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,full_image,paired,lama,,,
,218,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,full_image,paired,tie,,,
,5,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,mask_bbox_crop,lama_only,lama_only,,,
,154,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,mask_bbox_crop,paired,lama,,,
,201,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,360,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,masked_region,unknown,unknown,,,
,410,metric_pair_status,classical_metrics,ssim,restored,higher_is_better,outside_mask_region,unknown,unknown,,,
,305,metric_pair_status,feature_metrics,clip,improvement,higher_is_better,content_region,paired,lama,,,
,50,metric_pair_status,feature_metrics,clip,improvement,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,feature_metrics,clip,improvement,higher_is_better,content_region,paired,tie,,,
,294,metric_pair_status,feature_metrics,clip,improvement,higher_is_better,full_image,paired,lama,,,
,61,metric_pair_status,feature_metrics,clip,improvement,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,feature_metrics,clip,improvement,higher_is_better,full_image,paired,tie,,,
,317,metric_pair_status,feature_metrics,clip,improvement,higher_is_better,mask_bbox_crop,paired,lama,,,
,38,metric_pair_status,feature_metrics,clip,improvement,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,305,metric_pair_status,feature_metrics,clip,restored,higher_is_better,content_region,paired,lama,,,
,50,metric_pair_status,feature_metrics,clip,restored,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,feature_metrics,clip,restored,higher_is_better,content_region,paired,tie,,,
,294,metric_pair_status,feature_metrics,clip,restored,higher_is_better,full_image,paired,lama,,,
,61,metric_pair_status,feature_metrics,clip,restored,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,feature_metrics,clip,restored,higher_is_better,full_image,paired,tie,,,
,317,metric_pair_status,feature_metrics,clip,restored,higher_is_better,mask_bbox_crop,paired,lama,,,
,38,metric_pair_status,feature_metrics,clip,restored,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,315,metric_pair_status,feature_metrics,dinov2,improvement,higher_is_better,content_region,paired,lama,,,
,40,metric_pair_status,feature_metrics,dinov2,improvement,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,feature_metrics,dinov2,improvement,higher_is_better,content_region,paired,tie,,,
,316,metric_pair_status,feature_metrics,dinov2,improvement,higher_is_better,full_image,paired,lama,,,
,39,metric_pair_status,feature_metrics,dinov2,improvement,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,feature_metrics,dinov2,improvement,higher_is_better,full_image,paired,tie,,,
,318,metric_pair_status,feature_metrics,dinov2,improvement,higher_is_better,mask_bbox_crop,paired,lama,,,
,37,metric_pair_status,feature_metrics,dinov2,improvement,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,315,metric_pair_status,feature_metrics,dinov2,restored,higher_is_better,content_region,paired,lama,,,
,40,metric_pair_status,feature_metrics,dinov2,restored,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,feature_metrics,dinov2,restored,higher_is_better,content_region,paired,tie,,,
,316,metric_pair_status,feature_metrics,dinov2,restored,higher_is_better,full_image,paired,lama,,,
,39,metric_pair_status,feature_metrics,dinov2,restored,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,feature_metrics,dinov2,restored,higher_is_better,full_image,paired,tie,,,
,318,metric_pair_status,feature_metrics,dinov2,restored,higher_is_better,mask_bbox_crop,paired,lama,,,
,37,metric_pair_status,feature_metrics,dinov2,restored,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,321,metric_pair_status,lpips_metrics,lpips,improvement,higher_is_better,content_region,paired,lama,,,
,34,metric_pair_status,lpips_metrics,lpips,improvement,higher_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,lpips_metrics,lpips,improvement,higher_is_better,content_region,paired,tie,,,
,332,metric_pair_status,lpips_metrics,lpips,improvement,higher_is_better,full_image,paired,lama,,,
,23,metric_pair_status,lpips_metrics,lpips,improvement,higher_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,lpips_metrics,lpips,improvement,higher_is_better,full_image,paired,tie,,,
,332,metric_pair_status,lpips_metrics,lpips,improvement,higher_is_better,mask_bbox_crop,paired,lama,,,
,23,metric_pair_status,lpips_metrics,lpips,improvement,higher_is_better,mask_bbox_crop,paired,opencv_telea,,,
,321,metric_pair_status,lpips_metrics,lpips,restored,lower_is_better,content_region,paired,lama,,,
,34,metric_pair_status,lpips_metrics,lpips,restored,lower_is_better,content_region,paired,opencv_telea,,,
,55,metric_pair_status,lpips_metrics,lpips,restored,lower_is_better,content_region,paired,tie,,,
,332,metric_pair_status,lpips_metrics,lpips,restored,lower_is_better,full_image,paired,lama,,,
,23,metric_pair_status,lpips_metrics,lpips,restored,lower_is_better,full_image,paired,opencv_telea,,,
,55,metric_pair_status,lpips_metrics,lpips,restored,lower_is_better,full_image,paired,tie,,,
,332,metric_pair_status,lpips_metrics,lpips,restored,lower_is_better,mask_bbox_crop,paired,lama,,,
,23,metric_pair_status,lpips_metrics,lpips,restored,lower_is_better,mask_bbox_crop,paired,opencv_telea,,,
,360,metric_numeric_parse_status,classical_metrics,mse,improvement,,boundary_region,,,lama,360.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,improvement,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,improvement,,full_image,,,lama,410.0,0.0
,360,metric_numeric_parse_status,classical_metrics,mse,improvement,,mask_bbox_crop,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,mse,improvement,,masked_region,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,mse,improvement,,outside_mask_region,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,mse,restored,,boundary_region,,,lama,360.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,restored,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,mse,restored,,full_image,,,lama,410.0,0.0
,360,metric_numeric_parse_status,classical_metrics,mse,restored,,mask_bbox_crop,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,mse,restored,,masked_region,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,mse,restored,,outside_mask_region,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,psnr,improvement,,boundary_region,,,lama,360.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,improvement,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,improvement,,full_image,,,lama,410.0,0.0
,360,metric_numeric_parse_status,classical_metrics,psnr,improvement,,mask_bbox_crop,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,psnr,improvement,,masked_region,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,psnr,improvement,,outside_mask_region,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,psnr,restored,,boundary_region,,,lama,360.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,restored,,content_region,,,lama,410.0,0.0
,410,metric_numeric_parse_status,classical_metrics,psnr,restored,,full_image,,,lama,410.0,0.0
,360,metric_numeric_parse_status,classical_metrics,psnr,restored,,mask_bbox_crop,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,psnr,restored,,masked_region,,,lama,360.0,0.0
,360,metric_numeric_parse_status,classical_metrics,psnr,restored,,outside_mask_region,,,lama,360.0,0.0
