case_id,painting_id,mask_id,category,mask_type,selection_reasons,selection_count,has_uncertainty_heatmap,has_texture_disagreement,case_diagnostic_grid_path,case_report_html_path,clean_image_path_relative,damaged_image_path_relative,mask_image_path_relative,opencv_image_path_relative,lama_image_path_relative,stable_diffusion_image_path_relative,uncertainty_heatmap_png_path,uncertainty_overlay_png_path,uncertainty_masked_mean_uncertainty,uncertainty_boundary_mean_uncertainty,stable_diffusion_inpainting_metric_wins,opencv_telea_metric_wins,lama_metric_wins
p009_loss_large,p009,p009_loss_large,portrait_figure,loss_large,category_representative__portrait_figure; highest_stable_diffusion_boundary_uncertainty; highest_stable_diffusion_masked_uncertainty,3,True,True,outputs/figures/case_diagnostics/selected_case_grids/p009_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p009_loss_large_case_diagnostic.html,data/processed/clean/p009_clean.png,data/processed/masked/p009_loss_large_damaged.png,data/processed/masks/p009_loss_large_mask.png,data/processed/restored/opencv_telea/p009_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p009_loss_large_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p009_loss_large_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_loss_large_uncertainty_overlay.png,37.62174606323242,8.28358268737793,2,1,3
p011_loss_large,p011,p011_loss_large,landscape_natural,loss_large,category_representative__landscape_natural; highest_stable_diffusion_masked_uncertainty; mask_type_representative__loss_large,3,True,True,outputs/figures/case_diagnostics/selected_case_grids/p011_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p011_loss_large_case_diagnostic.html,data/processed/clean/p011_clean.png,data/processed/masked/p011_loss_large_damaged.png,data/processed/masks/p011_loss_large_mask.png,data/processed/restored/opencv_telea/p011_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p011_loss_large_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p011_loss_large_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_loss_large_uncertainty_overlay.png,38.24580001831055,4.813465118408203,0,1,5
p001_loss_large,p001,p001_loss_large,portrait_figure,loss_large,lama_strong_refined_metric_wins; stable_diffusion_low_refined_metric_wins; texture_refined_disagreement,3,False,True,outputs/figures/case_diagnostics/selected_case_grids/p001_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p001_loss_large_case_diagnostic.html,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_large_damaged.png,data/processed/masks/p001_loss_large_mask.png,data/processed/restored/opencv_telea/p001_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p001_loss_large_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p001_loss_large_restored_stable_diffusion_inpainting.png,,,,,0,0,6
p011_mixed_damage,p011,p011_mixed_damage,landscape_natural,mixed_damage,highest_stable_diffusion_masked_uncertainty; mask_type_representative__mixed_damage,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p011_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p011_mixed_damage_case_diagnostic.html,data/processed/clean/p011_clean.png,data/processed/masked/p011_mixed_damage_damaged.png,data/processed/masks/p011_mixed_damage_mask.png,data/processed/restored/opencv_telea/p011_mixed_damage_restored_opencv_telea.png,data/processed/restored/lama/p011_mixed_damage_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p011_mixed_damage_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_mixed_damage_uncertainty_overlay.png,24.741758346557617,4.385313987731934,0,1,5
p031_loss_large,p031,p031_loss_large,abstraction_surrealism,loss_large,category_representative__abstraction_surrealism; highest_stable_diffusion_masked_uncertainty,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p031_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p031_loss_large_case_diagnostic.html,data/processed/clean/p031_clean.png,data/processed/masked/p031_loss_large_damaged.png,data/processed/masks/p031_loss_large_mask.png,data/processed/restored/opencv_telea/p031_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p031_loss_large_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p031_loss_large_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p031_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p031_loss_large_uncertainty_overlay.png,27.72749328613281,7.723886489868164,0,1,5
p041_loss_large,p041,p041_loss_large,high_texture_brushwork,loss_large,high_texture_brushwork_representative; highest_stable_diffusion_boundary_uncertainty,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p041_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p041_loss_large_case_diagnostic.html,data/processed/clean/p041_clean.png,data/processed/masked/p041_loss_large_damaged.png,data/processed/masks/p041_loss_large_mask.png,data/processed/restored/opencv_telea/p041_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p041_loss_large_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p041_loss_large_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_loss_large_uncertainty_overlay.png,16.199604034423828,10.067052841186523,0,3,3
p041_loss_small,p041,p041_loss_small,high_texture_brushwork,loss_small,high_texture_brushwork_representative; highest_stable_diffusion_boundary_uncertainty,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p041_loss_small_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p041_loss_small_case_diagnostic.html,data/processed/clean/p041_clean.png,data/processed/masked/p041_loss_small_damaged.png,data/processed/masks/p041_loss_small_mask.png,data/processed/restored/opencv_telea/p041_loss_small_restored_opencv_telea.png,data/processed/restored/lama/p041_loss_small_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p041_loss_small_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_loss_small_uncertainty_overlay.png,13.953582763671877,9.221172332763672,0,3,3
p041_mixed_damage,p041,p041_mixed_damage,high_texture_brushwork,mixed_damage,high_texture_brushwork_representative; highest_stable_diffusion_boundary_uncertainty,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p041_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p041_mixed_damage_case_diagnostic.html,data/processed/clean/p041_clean.png,data/processed/masked/p041_mixed_damage_damaged.png,data/processed/masks/p041_mixed_damage_mask.png,data/processed/restored/opencv_telea/p041_mixed_damage_restored_opencv_telea.png,data/processed/restored/lama/p041_mixed_damage_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p041_mixed_damage_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_mixed_damage_uncertainty_overlay.png,18.26451301574707,10.275064468383787,0,3,3
p043_loss_large,p043,p043_loss_large,high_texture_brushwork,loss_large,category_representative__high_texture_brushwork; high_texture_brushwork_representative,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p043_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p043_loss_large_case_diagnostic.html,data/processed/clean/p043_clean.png,data/processed/masked/p043_loss_large_damaged.png,data/processed/masks/p043_loss_large_mask.png,data/processed/restored/opencv_telea/p043_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p043_loss_large_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p043_loss_large_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p043_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p043_loss_large_uncertainty_overlay.png,21.62515640258789,6.009873390197754,2,0,4
p009_mixed_damage,p009,p009_mixed_damage,portrait_figure,mixed_damage,highest_stable_diffusion_boundary_uncertainty,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p009_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p009_mixed_damage_case_diagnostic.html,data/processed/clean/p009_clean.png,data/processed/masked/p009_mixed_damage_damaged.png,data/processed/masks/p009_mixed_damage_mask.png,data/processed/restored/opencv_telea/p009_mixed_damage_restored_opencv_telea.png,data/processed/restored/lama/p009_mixed_damage_restored_lama.png,data/processed/restored/stable_diffusion_inpainting/p009_mixed_damage_restored_stable_diffusion_inpainting.png,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_mixed_damage_uncertainty_overlay.png,21.4506893157959,8.090476036071777,0,1,5
