neighbor_record_id,query_id,query_candidate_id,query_case_id,query_painting_id,query_model_id,lane,feature_model_id,image_role,region_id,neighbor_rank,neighbor_candidate_id,neighbor_case_id,neighbor_painting_id,neighbor_model_id,neighbor_recommendation_category,neighbor_manual_review_required,cosine_similarity,cosine_distance,secondary_feature_model_id,secondary_cosine_similarity,secondary_cosine_distance,secondary_query_embedding_id,secondary_neighbor_embedding_id,same_category,same_degradation_family,same_model,same_case,same_painting,query_embedding_id,neighbor_embedding_id,selection_reason,schema_version,status,issue
neighbor_f0ecddb2809d39334e36,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,flagged,dinov2_vits14,restored,content_region,1,candidate__opencv_telea__canonical__p280__scratch_thin__c00,canonical__p280__scratch_thin,p280,opencv_telea,specialist_review_required,True,0.8097551465034485,0.1902448534965515,clip_vit_b32,0.7997482419013977,0.2002517580986023,fe__32f81b58b9083235950d,fe__b8fc28c0829d82230e42,True,True,False,False,False,fe__525676d7c0077e5d0baa,fe__ad19b146a7021112426f,flagged nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_07c0dc321b08b3e00435,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,flagged,dinov2_vits14,restored,content_region,2,candidate__hint_places2__canonical__p280__scratch_thin__c00,canonical__p280__scratch_thin,p280,hint_places2,specialist_review_required,True,0.8077828288078308,0.1922171711921692,clip_vit_b32,0.7972372770309448,0.20276272296905518,fe__32f81b58b9083235950d,fe__59cbcb87f1ab87b33bf2,True,True,False,False,False,fe__525676d7c0077e5d0baa,fe__0f2acae8fc7b0be1418b,flagged nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_d1ee9e762c27537195df,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,flagged,dinov2_vits14,restored,content_region,3,sd15__p00__s2026__ee417a5bc942,canonical__p280__loss_large,p280,stable_diffusion_inpainting,specialist_review_required,True,0.8071736097335815,0.19282639026641846,clip_vit_b32,0.7517111301422119,0.24828886985778809,fe__32f81b58b9083235950d,fe__d0e3a524ad475f24a4d1,True,True,False,False,False,fe__525676d7c0077e5d0baa,fe__d61eb2bf836ee50d1d2a,flagged nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_d81f336f92e7a7a47eb8,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,flagged,dinov2_vits14,restored,content_region,4,candidate__hint_places2__canonical__p280__zero_control__c00,canonical__p280__zero_control,p280,hint_places2,do_not_rely_automatically,True,0.8058490753173828,0.1941509246826172,clip_vit_b32,0.7973519563674927,0.20264804363250732,fe__32f81b58b9083235950d,fe__1fa4bafeea8200ce00ec,True,True,False,False,False,fe__525676d7c0077e5d0baa,fe__e4b40e1274b72962ffa2,flagged nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_0dda1b0cc2b672283a5f,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,flagged,dinov2_vits14,restored,content_region,5,candidate__lama__canonical__p280__zero_control__c00,canonical__p280__zero_control,p280,lama,do_not_rely_automatically,True,0.8058490753173828,0.1941509246826172,clip_vit_b32,0.7973519563674927,0.20264804363250732,fe__32f81b58b9083235950d,fe__fb0c041424c0c61fc4c9,True,True,True,False,False,fe__525676d7c0077e5d0baa,fe__007606182de990c46c5a,flagged nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_8c16c53a2d688cfbf267,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,lower_risk,dinov2_vits14,restored,content_region,1,candidate__hint_places2__synthetic_degradation__p284__dirt_dust__severe__c00,synthetic_degradation__p284__dirt_dust__severe,p284,hint_places2,suitable_for_preliminary_inspection,False,0.7430518865585327,0.2569481134414673,clip_vit_b32,0.7200063467025757,0.2799936532974243,fe__32f81b58b9083235950d,fe__6dbdcfdda7aa3a69c155,True,True,False,False,False,fe__525676d7c0077e5d0baa,fe__56afcbd4aaab33ffaf25,lower_risk nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_9b544df96c23f4dab2f9,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,lower_risk,dinov2_vits14,restored,content_region,2,candidate__lama__synthetic_degradation__p284__dirt_dust__moderate__c00,synthetic_degradation__p284__dirt_dust__moderate,p284,lama,suitable_for_preliminary_inspection,False,0.7424368262290955,0.25756317377090454,clip_vit_b32,0.7199198603630066,0.2800801396369934,fe__32f81b58b9083235950d,fe__0f9a8e04a8602f477ebb,True,True,True,False,False,fe__525676d7c0077e5d0baa,fe__45a9b583aef9250aabd6,lower_risk nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_f91ed642c2b7e9dbd580,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,lower_risk,dinov2_vits14,restored,content_region,3,candidate__hint_places2__synthetic_degradation__p284__dirt_dust__moderate__c00,synthetic_degradation__p284__dirt_dust__moderate,p284,hint_places2,suitable_for_preliminary_inspection,False,0.7416222095489502,0.2583777904510498,clip_vit_b32,0.7227392792701721,0.2772607207298279,fe__32f81b58b9083235950d,fe__e925e927532df2f9d426,True,True,False,False,False,fe__525676d7c0077e5d0baa,fe__32e5c57f548a854ddf0a,lower_risk nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_1f7cda873db21125d172,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,lower_risk,dinov2_vits14,restored,content_region,4,candidate__opencv_telea__synthetic_degradation__p284__dirt_dust__severe__c00,synthetic_degradation__p284__dirt_dust__severe,p284,opencv_telea,suitable_for_preliminary_inspection,False,0.7410358190536499,0.2589641809463501,clip_vit_b32,0.7151468992233276,0.28485310077667236,fe__32f81b58b9083235950d,fe__d3de4db6eb68cbec4dd1,True,True,False,False,False,fe__525676d7c0077e5d0baa,fe__6bc9f26b64edbee1ef28,lower_risk nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_4d462e84e04f34a74428,query_01_portrait_figure_lower_risk,candidate__lama__synthetic_degradation__p001__dirt_dust__moderate__c00,synthetic_degradation__p001__dirt_dust__moderate,p001,lama,lower_risk,dinov2_vits14,restored,content_region,5,candidate__opencv_telea__synthetic_degradation__p284__dirt_dust__moderate__c00,synthetic_degradation__p284__dirt_dust__moderate,p284,opencv_telea,suitable_for_preliminary_inspection,False,0.7408944368362427,0.2591055631637573,clip_vit_b32,0.7187719345092773,0.28122806549072266,fe__32f81b58b9083235950d,fe__79c31222be39f568bc0c,True,True,False,False,False,fe__525676d7c0077e5d0baa,fe__b36e69ef0d1f5b141309,lower_risk nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=lower_risk; category=portrait_figure,case_neighbors.v1,ok,
neighbor_5ae7c524b5333b5d68d0,query_02_portrait_figure_flagged,sd15__p00__s2026__29ff258ff921,canonical__p002__loss_large,p002,stable_diffusion_inpainting,flagged,dinov2_vits14,restored,content_region,1,sd15__p00__s2028__d4ef1a739ef0,canonical__p007__mixed_damage,p007,stable_diffusion_inpainting,specialist_review_required,True,0.6733095645904541,0.3266904354095459,clip_vit_b32,0.8452778458595276,0.1547221541404724,fe__7242f1cc8c93457da9f7,fe__7d56650821f3c10757be,True,True,True,False,False,fe__27666d8af7678185adb9,fe__f21f88d219fbe9461df8,flagged nearest neighbor under dinov2_vits14; self/same-case/same-painting excluded; approved query role=flagged; category=portrait_figure,case_neighbors.v1,ok,
