case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_large,loss_large,opencv_telea,mask_bbox_crop,132496,389,276,753,640,51159,12.5923,8.6736,0.7383415102958679,0.7352237701416016,-0.0031177401542663574,0.6712355613708496,0.30721327662467957,-0.36402228474617004,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p014_loss_large,p014,landscape_natural,Landscape on a River,p014_loss_large,loss_large,opencv_telea,mask_bbox_crop,142884,88,241,466,619,57683,17.2662,9.7797,0.7785896062850952,0.7671440839767456,-0.01144552230834961,0.5308947563171387,0.22687754034996033,-0.30401721596717834,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p009_loss_large,p009,portrait_figure,Madame Roulin and Her Baby,p009_loss_large,loss_large,opencv_telea,mask_bbox_crop,136161,85,0,454,369,58251,12.293,9.876,0.7947430610656738,0.7285798788070679,-0.06616318225860596,0.687800407409668,0.38806086778640747,-0.2997395396232605,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p016_loss_large,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_loss_large,loss_large,opencv_telea,mask_bbox_crop,121104,248,242,596,590,47151,12.6587,7.9941,0.7690346240997314,0.7924277186393738,0.023393094539642334,0.7273192405700684,0.4289102554321289,-0.29840898513793945,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p044_loss_large,p044,high_texture_brushwork,Versailles,p044_loss_large,loss_large,opencv_telea,mask_bbox_crop,133225,403,94,768,459,49735,10.1028,8.4322,0.8446192741394043,0.8526580333709717,0.008038759231567383,0.7965560555458069,0.5065505504608154,-0.29000550508499146,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p017_loss_large,p017,landscape_natural,Picturesque Landscape,p017_loss_large,loss_large,opencv_telea,mask_bbox_crop,142884,138,390,516,768,45832,10.5437,7.7705,0.8738003969192505,0.842863917350769,-0.030936479568481445,0.7864407300949097,0.4994490146636963,-0.2869917154312134,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p026_loss_large,p026,architecture_structured,View of a Village along a River,p026_loss_large,loss_large,opencv_telea,mask_bbox_crop,116281,225,140,566,481,44723,11.0081,7.5824,0.763953685760498,0.8284569382667542,0.0645032525062561,0.6635925769805908,0.38454189896583557,-0.27905067801475525,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p048_loss_large,p048,high_texture_brushwork,A Farm in Brittany,p048_loss_large,loss_large,opencv_telea,mask_bbox_crop,161604,57,177,459,579,63467,13.4811,10.7603,0.7472101449966431,0.7544375658035278,0.007227420806884766,0.6979923248291016,0.44350776076316833,-0.2544845640659332,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p030_loss_large,p030,architecture_structured,Interior with Five Women,p030_loss_large,loss_large,opencv_telea,mask_bbox_crop,126736,218,184,574,540,49329,12.7189,8.3633,0.8230017423629761,0.8530457615852356,0.03004401922225952,0.7687377333641052,0.5246134996414185,-0.24412423372268677,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p043_loss_large,p043,high_texture_brushwork,The Card Players,p043_loss_large,loss_large,opencv_telea,mask_bbox_crop,131769,163,285,526,648,55790,11.8892,9.4588,0.8481791615486145,0.8468047976493835,-0.001374363899230957,0.7194153666496277,0.5001969337463379,-0.2192184329032898,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
