source_case_key,candidate_seed,candidate_id,dataset_name,case_id,painting_id,mask_type,prompt_variant_id,prompt_template_name,prompt_variant_family,prompt_variant_order,prompt,prompt_metadata_fields_used,prompt_metadata_missing_fields,prompt_metadata_missing_count,runtime_seconds,mean_abs_diff,max_abs_diff,validation_passed_bool,restored_path,generic_candidate_id,generic_runtime_seconds,generic_mean_abs_diff,generic_max_abs_diff,generic_validation_passed,generic_restored_path,delta_mean_abs_diff_vs_generic,abs_delta_mean_abs_diff_vs_generic,delta_runtime_seconds_vs_generic
canonical__p004_loss_large,2026,sd__can__p004__loss_large__p01_style_period__s2026__ea7b25ac5a,canonical,p004_loss_large,p004,loss_large,p01_style_period,style_period_context,contextual,1,"restore the damaged or missing area of this historical artwork painting while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[],[style_period],1,7.019409200001974,16.605142098885995,255.0,True,data/processed/restored/stable_diffusion/canonical/p01_style_period/sd__can__p004__loss_large__p01_style_period__s2026__ea7b25ac5a__restored_stable_diffusion_inpainting.png,sd__can__p004__loss_large__p00_generic__s2026__59cd822dac,8.740028999993228,16.78898733633536,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__loss_large__p00_generic__s2026__59cd822dac__restored_stable_diffusion_inpainting.png,-0.18384523744936487,0.18384523744936487,-1.7206197999912547
canonical__p004_loss_large,2026,sd__can__p004__loss_large__p02_artist__s2026__c73c23c161,canonical,p004_loss_large,p004,loss_large,p02_artist,artist_context,contextual,2,"restore the damaged or missing area of this painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[],0,6.809884700007387,15.894189905237267,247.0,True,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p004__loss_large__p02_artist__s2026__c73c23c161__restored_stable_diffusion_inpainting.png,sd__can__p004__loss_large__p00_generic__s2026__59cd822dac,8.740028999993228,16.78898733633536,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__loss_large__p00_generic__s2026__59cd822dac__restored_stable_diffusion_inpainting.png,-0.8947974310980928,0.8947974310980928,-1.930144299985841
canonical__p004_loss_large,2026,sd__can__p004__loss_large__p03_artist_style_p__s2026__b0cf9a78ca,canonical,p004_loss_large,p004,loss_large,p03_artist_style_period,artist_style_period_context,contextual,3,"restore the damaged or missing area of this historical artwork painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[style_period],1,7.430802300004871,15.8867345739294,245.0,True,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p004__loss_large__p03_artist_style_p__s2026__b0cf9a78ca__restored_stable_diffusion_inpainting.png,sd__can__p004__loss_large__p00_generic__s2026__59cd822dac,8.740028999993228,16.78898733633536,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__loss_large__p00_generic__s2026__59cd822dac__restored_stable_diffusion_inpainting.png,-0.9022527624059595,0.9022527624059595,-1.3092266999883577
canonical__p004_loss_large,2026,sd__can__p004__loss_large__p04_full_context__s2026__a29f15defc,canonical,p004_loss_large,p004,loss_large,p04_full_context,artwork_full_context,contextual,4,"restore the damaged or missing area of this painting titled Madame Georges Charpentier and Her Children, by Pierre-Auguste Renoir, categorized as portrait_figure while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context","[artist, title, category]",[style_period],1,8.232762600004207,18.110048082139755,255.0,True,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p004__loss_large__p04_full_context__s2026__a29f15defc__restored_stable_diffusion_inpainting.png,sd__can__p004__loss_large__p00_generic__s2026__59cd822dac,8.740028999993228,16.78898733633536,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__loss_large__p00_generic__s2026__59cd822dac__restored_stable_diffusion_inpainting.png,1.3210607458043953,1.3210607458043953,-0.507266399989021
canonical__p004_loss_small,2026,sd__can__p004__loss_small__p01_style_period__s2026__6875d753fa,canonical,p004_loss_small,p004,loss_small,p01_style_period,style_period_context,contextual,1,"restore the damaged or missing area of this historical artwork painting while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[],[style_period],1,9.121237800005474,5.6989011411313655,255.0,True,data/processed/restored/stable_diffusion/canonical/p01_style_period/sd__can__p004__loss_small__p01_style_period__s2026__6875d753fa__restored_stable_diffusion_inpainting.png,sd__can__p004__loss_small__p00_generic__s2026__d9f18735f1,9.14316079999844,5.654927006474248,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__loss_small__p00_generic__s2026__d9f18735f1__restored_stable_diffusion_inpainting.png,0.04397413465711786,0.04397413465711786,-0.021922999992966652
canonical__p004_loss_small,2026,sd__can__p004__loss_small__p02_artist__s2026__b447ea1ec9,canonical,p004_loss_small,p004,loss_small,p02_artist,artist_context,contextual,2,"restore the damaged or missing area of this painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[],0,9.655009299996893,5.627087063259548,255.0,True,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p004__loss_small__p02_artist__s2026__b447ea1ec9__restored_stable_diffusion_inpainting.png,sd__can__p004__loss_small__p00_generic__s2026__d9f18735f1,9.14316079999844,5.654927006474248,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__loss_small__p00_generic__s2026__d9f18735f1__restored_stable_diffusion_inpainting.png,-0.027839943214699403,0.027839943214699403,0.5118484999984521
canonical__p004_loss_small,2026,sd__can__p004__loss_small__p03_artist_style_p__s2026__244a7ff7e9,canonical,p004_loss_small,p004,loss_small,p03_artist_style_period,artist_style_period_context,contextual,3,"restore the damaged or missing area of this historical artwork painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[style_period],1,9.804303900004015,5.5864308675130205,255.0,True,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p004__loss_small__p03_artist_style_p__s2026__244a7ff7e9__restored_stable_diffusion_inpainting.png,sd__can__p004__loss_small__p00_generic__s2026__d9f18735f1,9.14316079999844,5.654927006474248,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__loss_small__p00_generic__s2026__d9f18735f1__restored_stable_diffusion_inpainting.png,-0.06849613896122708,0.06849613896122708,0.6611431000055745
canonical__p004_loss_small,2026,sd__can__p004__loss_small__p04_full_context__s2026__35477c304b,canonical,p004_loss_small,p004,loss_small,p04_full_context,artwork_full_context,contextual,4,"restore the damaged or missing area of this painting titled Madame Georges Charpentier and Her Children, by Pierre-Auguste Renoir, categorized as portrait_figure while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context","[artist, title, category]",[style_period],1,9.843688399996608,5.56448420771846,255.0,True,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p004__loss_small__p04_full_context__s2026__35477c304b__restored_stable_diffusion_inpainting.png,sd__can__p004__loss_small__p00_generic__s2026__d9f18735f1,9.14316079999844,5.654927006474248,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__loss_small__p00_generic__s2026__d9f18735f1__restored_stable_diffusion_inpainting.png,-0.0904427987557872,0.0904427987557872,0.7005275999981677
canonical__p004_mixed_damage,2026,sd__can__p004__mixed_damage__p01_style_period__s2026__7a2827e1b4,canonical,p004_mixed_damage,p004,mixed_damage,p01_style_period,style_period_context,contextual,1,"restore the damaged or missing area of this historical artwork painting while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[],[style_period],1,9.891974699989078,15.308099252206308,255.0,True,data/processed/restored/stable_diffusion/canonical/p01_style_period/sd__can__p004__mixed_damage__p01_style_period__s2026__7a2827e1b4__restored_stable_diffusion_inpainting.png,sd__can__p004__mixed_damage__p00_generic__s2026__e33aab3ce5,9.66589340000064,15.23756691261574,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__mixed_damage__p00_generic__s2026__e33aab3ce5__restored_stable_diffusion_inpainting.png,0.07053233959056726,0.07053233959056726,0.2260812999884383
canonical__p004_mixed_damage,2026,sd__can__p004__mixed_damage__p02_artist__s2026__149f0c96ae,canonical,p004_mixed_damage,p004,mixed_damage,p02_artist,artist_context,contextual,2,"restore the damaged or missing area of this painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[],0,9.8973404999997,15.388845373083043,255.0,True,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p004__mixed_damage__p02_artist__s2026__149f0c96ae__restored_stable_diffusion_inpainting.png,sd__can__p004__mixed_damage__p00_generic__s2026__e33aab3ce5,9.66589340000064,15.23756691261574,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__mixed_damage__p00_generic__s2026__e33aab3ce5__restored_stable_diffusion_inpainting.png,0.15127846046730298,0.15127846046730298,0.23144709999906077
canonical__p004_mixed_damage,2026,sd__can__p004__mixed_damage__p03_artist_style_p__s2026__f8f4190dd2,canonical,p004_mixed_damage,p004,mixed_damage,p03_artist_style_period,artist_style_period_context,contextual,3,"restore the damaged or missing area of this historical artwork painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[style_period],1,9.914654500011238,15.36661331741898,255.0,True,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p004__mixed_damage__p03_artist_style_p__s2026__f8f4190dd2__restored_stable_diffusion_inpainting.png,sd__can__p004__mixed_damage__p00_generic__s2026__e33aab3ce5,9.66589340000064,15.23756691261574,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__mixed_damage__p00_generic__s2026__e33aab3ce5__restored_stable_diffusion_inpainting.png,0.1290464048032387,0.1290464048032387,0.24876110001059892
canonical__p004_mixed_damage,2026,sd__can__p004__mixed_damage__p04_full_context__s2026__bed96fd11b,canonical,p004_mixed_damage,p004,mixed_damage,p04_full_context,artwork_full_context,contextual,4,"restore the damaged or missing area of this painting titled Madame Georges Charpentier and Her Children, by Pierre-Auguste Renoir, categorized as portrait_figure while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context","[artist, title, category]",[style_period],1,9.90492849999282,15.361713550708911,255.0,True,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p004__mixed_damage__p04_full_context__s2026__bed96fd11b__restored_stable_diffusion_inpainting.png,sd__can__p004__mixed_damage__p00_generic__s2026__e33aab3ce5,9.66589340000064,15.23756691261574,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__mixed_damage__p00_generic__s2026__e33aab3ce5__restored_stable_diffusion_inpainting.png,0.12414663809317084,0.12414663809317084,0.2390350999921811
canonical__p004_scratch_thin,2026,sd__can__p004__scratch_thin__p01_style_period__s2026__92c7a85cfb,canonical,p004_scratch_thin,p004,scratch_thin,p01_style_period,style_period_context,contextual,1,"restore the damaged or missing area of this historical artwork painting while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[],[style_period],1,9.914446800001317,2.205876668294271,255.0,True,data/processed/restored/stable_diffusion/canonical/p01_style_period/sd__can__p004__scratch_thin__p01_style_period__s2026__92c7a85cfb__restored_stable_diffusion_inpainting.png,sd__can__p004__scratch_thin__p00_generic__s2026__fa004af076,9.23394360000384,2.2058648003472223,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__scratch_thin__p00_generic__s2026__fa004af076__restored_stable_diffusion_inpainting.png,1.1867947048660454e-05,1.1867947048660454e-05,0.6805031999974762
canonical__p004_scratch_thin,2026,sd__can__p004__scratch_thin__p02_artist__s2026__40a4c8b445,canonical,p004_scratch_thin,p004,scratch_thin,p02_artist,artist_context,contextual,2,"restore the damaged or missing area of this painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[],0,9.88758309998957,2.202367146809896,255.0,True,data/processed/restored/stable_diffusion/canonical/p02_artist/sd__can__p004__scratch_thin__p02_artist__s2026__40a4c8b445__restored_stable_diffusion_inpainting.png,sd__can__p004__scratch_thin__p00_generic__s2026__fa004af076,9.23394360000384,2.2058648003472223,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__scratch_thin__p00_generic__s2026__fa004af076__restored_stable_diffusion_inpainting.png,-0.0034976535373263395,0.0034976535373263395,0.6536394999857293
canonical__p004_scratch_thin,2026,sd__can__p004__scratch_thin__p03_artist_style_p__s2026__550bf0f24c,canonical,p004_scratch_thin,p004,scratch_thin,p03_artist_style_period,artist_style_period_context,contextual,3,"restore the damaged or missing area of this historical artwork painting by Pierre-Auguste Renoir while preserving the original composition, colour palette, brushwork, texture, lighting, age, and surrounding visual context",[artist],[style_period],1,9.914910100007546,2.189727783203125,255.0,True,data/processed/restored/stable_diffusion/canonical/p03_artist_style_period/sd__can__p004__scratch_thin__p03_artist_style_p__s2026__550bf0f24c__restored_stable_diffusion_inpainting.png,sd__can__p004__scratch_thin__p00_generic__s2026__fa004af076,9.23394360000384,2.2058648003472223,255.0,True,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p004__scratch_thin__p00_generic__s2026__fa004af076__restored_stable_diffusion_inpainting.png,-0.01613701714409732,0.01613701714409732,0.6809665000037057
