result_id,scenario_id,scenario_family,result_kind,analysis_scope,scope_value,entity_type,entity_id,model_id,flag_id,baseline_value,scenario_value,absolute_change,relative_change,baseline_rank,scenario_rank,rank_change,baseline_winner_id,scenario_winner_id,winner_retained,kendalls_tau,spearman_rho,baseline_triggered_count,scenario_triggered_count,changed_count,changed_fraction,insufficient_evidence_count,available_family_count,available_anchor_count,n_paintings,n_cases,n_candidates,independent_unit,applicability_status,interpretation_status,schema_version,status,issue
ablation_07676bcaa7871b5746bc,complete_approved_framework,metric,scenario_summary,complete_ablation_scenario,complete_approved_framework,scenario,complete_approved_framework,,,41315,41315,0,0.0,,,,lama,lama,True,1.0,1.0,41315,41315,0,0.0,23192,10,11,300,2620,13879,painting,supported,scenario_level_sensitivity_summary,metric_region_ablation_results.v1,ok,
ablation_8e656d95aada29651b57,complete_approved_framework,metric,model_rank,core_model_family_balanced_ranking,all_nonzero_core_cases,model,hint_places2,hint_places2,,,,,,2.0,2.0,0.0,lama,lama,True,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,painting_level_family_balanced_descriptive_ranking,metric_region_ablation_results.v1,ok,
ablation_8e04e153e6113719a1f0,complete_approved_framework,metric,model_rank,core_model_family_balanced_ranking,all_nonzero_core_cases,model,lama,lama,,,,,,1.0,1.0,0.0,lama,lama,True,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,painting_level_family_balanced_descriptive_ranking,metric_region_ablation_results.v1,ok,
ablation_28df0232bc1d07a3c3ca,complete_approved_framework,metric,model_rank,core_model_family_balanced_ranking,all_nonzero_core_cases,model,opencv_telea,opencv_telea,,,,,,3.0,3.0,0.0,lama,lama,True,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,painting_level_family_balanced_descriptive_ranking,metric_region_ablation_results.v1,ok,
ablation_a967538e60ca45034d9d,complete_approved_framework,metric,model_rank,core_model_family_balanced_ranking,all_nonzero_core_cases,model,stable_diffusion_inpainting,stable_diffusion_inpainting,,,,,,4.0,4.0,0.0,lama,lama,True,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,painting_level_family_balanced_descriptive_ranking,metric_region_ablation_results.v1,ok,
ablation_22b1a1200067573e06b4,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p001__loss_large,case,canonical__p001__loss_large,,,,,,,849.0,849.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_28c4fcd2bd6a711a4da9,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p001__loss_small,case,canonical__p001__loss_small,,,,,,,2297.0,2297.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_440914537b1c41056ca0,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p001__mixed_damage,case,canonical__p001__mixed_damage,,,,,,,1588.0,1588.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_9e479b259858accf11e9,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p001__scratch_thin,case,canonical__p001__scratch_thin,,,,,,,1672.0,1672.0,0.0,,,,1.0,1.0,,,,,,10,11,300,2320,9280,painting,supported,diagnostic_ordinal_difficulty_not_trust_score,metric_region_ablation_results.v1,ok,
ablation_702f47d2987d9baa1569,complete_approved_framework,metric,case_priority_rank,matched_case_diagnostic_priority,canonical__p001__zero_control,case,canonical__p001__zero_control,,,,,,,,,,,,,,,,,,,,10,11,300,2320,9280,painting,not_applicable_zero_control,zero_damage_control_retained_without_artificial_quality_rank,metric_region_ablation_results.v1,ok,
